id,importanceSampling
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,-9.843869
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,-9.741378
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,-9.768593
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,-9.654437
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,-9.557924
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,-9.631829
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,-9.654292
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,-9.823015
130_bNAb_Combinations|1313842|sample|10|nan|2946,-30.131729
130_bNAb_Combinations|1313842|sample|11|nan|2946,-25.118264
130_bNAb_Combinations|1313842|sample|12|nan|2946,-24.361273
130_bNAb_Combinations|1313842|sample|3|nan|2946,-17.106458
130_bNAb_Combinations|1313842|sample|4|nan|2946,-18.592726
130_bNAb_Combinations|1313842|sample|5|nan|2946,-21.364520
130_bNAb_Combinations|1313842|sample|6|nan|2946,-57.581795
130_bNAb_Combinations|1313842|sample|7|nan|2946,-16.742162
130_bNAb_Combinations|1313842|sample|8|nan|2946,-22.446849
130_bNAb_Combinations|1313842|sample|9|nan|2946,-29.350734
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,-2.420649
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,-2.740148
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,-2.660175
130_bNAb_Combinations|1313842|vc|4|2|nan|2946,-2.770395
130_bNAb_Combinations|1313842|vc|5|2|nan|2946,-36.122192
130_bNAb_Combinations|1313842|vc|6|2|nan|2946,-2.742708
130_bNAb_Combinations|1313842|vc|7|2|nan|2946,-34.196508
130_bNAb_Combinations|1313842|vc|8|2|nan|2946,2.101767
130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024,-9.779728
130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024,-9.831295
130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024,-9.766247
130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024,-9.548423
130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024,-9.709535
130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024,-9.566499
130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024,-9.546710
130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024,-9.701559
130_bNAb_Combinations|1313860|sample|10|PVO.4|5024,-31.234026
130_bNAb_Combinations|1313860|sample|11|PVO.4|5024,-33.590931
130_bNAb_Combinations|1313860|sample|12|PVO.4|5024,-61.945864
130_bNAb_Combinations|1313860|sample|3|PVO.4|5024,-17.747948
130_bNAb_Combinations|1313860|sample|4|PVO.4|5024,-16.050095
130_bNAb_Combinations|1313860|sample|5|PVO.4|5024,-28.193525
130_bNAb_Combinations|1313860|sample|6|PVO.4|5024,-54.564402
130_bNAb_Combinations|1313860|sample|7|PVO.4|5024,-24.004009
130_bNAb_Combinations|1313860|sample|8|PVO.4|5024,-24.156179
130_bNAb_Combinations|1313860|sample|9|PVO.4|5024,-29.692839
130_bNAb_Combinations|1313860|vc|1|2|PVO.4|5024,-2.101178
130_bNAb_Combinations|1313860|vc|2|2|PVO.4|5024,-34.435934
130_bNAb_Combinations|1313860|vc|3|2|PVO.4|5024,-2.699873
130_bNAb_Combinations|1313860|vc|4|2|PVO.4|5024,-2.523269
130_bNAb_Combinations|1313860|vc|5|2|PVO.4|5024,-2.693408
130_bNAb_Combinations|1313860|vc|6|2|PVO.4|5024,-1.933344
130_bNAb_Combinations|1313860|vc|7|2|PVO.4|5024,-0.677232
130_bNAb_Combinations|1313860|vc|8|2|PVO.4|5024,-1.171959
130_bNAb_Combinations|1313884|cc|1|1|nan|4168,-9.708337
130_bNAb_Combinations|1313884|cc|2|1|nan|4168,-9.875631
130_bNAb_Combinations|1313884|cc|3|1|nan|4168,-9.827361
130_bNAb_Combinations|1313884|cc|4|1|nan|4168,-9.931025
130_bNAb_Combinations|1313884|cc|5|1|nan|4168,-9.881405
130_bNAb_Combinations|1313884|cc|6|1|nan|4168,-9.818366
130_bNAb_Combinations|1313884|cc|7|1|nan|4168,-9.896128
130_bNAb_Combinations|1313884|cc|8|1|nan|4168,-9.867565
