parameter,value,CV
U_pop,1,
beta_U_goes_down_True,0.293690562214838,
beta_U_mab_virus_PGDM1400___VRC07_523LS_1176,-0.0427317097574525,
beta_U_mab_virus_PGDM1400___VRC07_523LS_1798,-0.10399927585481,
beta_U_mab_virus_PGDM1400___VRC07_523LS_2944,-0.375815496846731,
beta_U_mab_virus_PGDM1400___VRC07_523LS_2946,-0.0608802514231379,
beta_U_mab_virus_PGDM1400___VRC07_523LS_3430,-0.735807234702057,
beta_U_mab_virus_PGDM1400___VRC07_523LS_4166,-0.161620377922893,
beta_U_mab_virus_PGDM1400___VRC07_523LS_4168,0.0341124138560052,
beta_U_mab_virus_PGDM1400___VRC07_523LS_Ce1176_A3,-0.148169201027193,
beta_U_mab_virus_PGDM1400___VRC07_523LS_PVO_4,0.032750999704681,
beta_U_mab_virus_PGDM1400___VRC07_523LS_RHPA4259_7,-0.0839091124396045,
beta_U_mab_virus_PGDM1400___VRC07_523LS_TRO_11,0.0517067862547271,
beta_U_mab_virus_PGDM1400_1176,0.29155941005626,
beta_U_mab_virus_PGDM1400_1798,0.18682471463985,
beta_U_mab_virus_PGDM1400_2944,-0.178334393074161,
beta_U_mab_virus_PGDM1400_2946,0.0291961088187205,
beta_U_mab_virus_PGDM1400_3430,0.176077018358016,
beta_U_mab_virus_PGDM1400_4166,0.090409166073916,
beta_U_mab_virus_PGDM1400_4168,0.0122034255693618,
beta_U_mab_virus_PGDM1400_Ce1176_A3,-0.00604924937361973,
beta_U_mab_virus_PGDM1400_PVO_4,-0.0289973676437347,
beta_U_mab_virus_PGDM1400_RHPA4259_7,-0.0751164952762904,
beta_U_mab_virus_PGDM1400_TRO_11,0.0373352587595899,
beta_U_mab_virus_PGT121___VRC07_523LS_1176,-0.157672775673729,
beta_U_mab_virus_PGT121___VRC07_523LS_1798,-0.180442582996354,
beta_U_mab_virus_PGT121___VRC07_523LS_2944,-0.121268643679194,
beta_U_mab_virus_PGT121___VRC07_523LS_2946,-0.152395701028839,
beta_U_mab_virus_PGT121___VRC07_523LS_3430,-0.0473936533336683,
beta_U_mab_virus_PGT121___VRC07_523LS_4166,-0.0967275906772218,
beta_U_mab_virus_PGT121___VRC07_523LS_4168,0.112401147837021,
beta_U_mab_virus_PGT121___VRC07_523LS_Ce1176_A3,-0.244373797223022,
beta_U_mab_virus_PGT121___VRC07_523LS_PVO_4,0.011750606357493,
beta_U_mab_virus_PGT121___VRC07_523LS_RHPA4259_7,-0.264278792384962,
beta_U_mab_virus_PGT121___VRC07_523LS_TRO_11,-0.0305352691753342,
beta_U_mab_virus_PGT121_1176,0.649009126097264,
beta_U_mab_virus_PGT121_1798,-0.0654254127711735,
beta_U_mab_virus_PGT121_2944,-0.109544753782028,
beta_U_mab_virus_PGT121_2946,0.00140626659814949,
beta_U_mab_virus_PGT121_3430,-0.100587389445788,
beta_U_mab_virus_PGT121_4166,-0.0234226782971034,
beta_U_mab_virus_PGT121_4168,0.0934118645526752,
beta_U_mab_virus_PGT121_Ce1176_A3,-0.119369060172883,
beta_U_mab_virus_PGT121_PVO_4,-0.0213476170198798,
beta_U_mab_virus_PGT121_RHPA4259_7,-0.184394188395034,
beta_U_mab_virus_PGT121_TRO_11,0.0133772839454378,
beta_U_mab_virus_VRC07_523LS_1176,0.104533882228285,
beta_U_mab_virus_VRC07_523LS_1798,-0.0650299046215285,
beta_U_mab_virus_VRC07_523LS_2944,-0.117284816505411,
beta_U_mab_virus_VRC07_523LS_2946,-0.0923760748406491,
beta_U_mab_virus_VRC07_523LS_3430,-0.0238718879294243,
beta_U_mab_virus_VRC07_523LS_4166,-0.127473645808718,
beta_U_mab_virus_VRC07_523LS_4168,-0.0574185855580229,
beta_U_mab_virus_VRC07_523LS_Ce1176_A3,-0.161065342687627,
beta_U_mab_virus_VRC07_523LS_PVO_4,0.0855509813375105,
beta_U_mab_virus_VRC07_523LS_RHPA4259_7,-0.191123717316331,
beta_U_mab_virus_VRC07_523LS_TRO_11,0.0775852759151842,
beta_U_mab_virus_nan_1176,0.311956243930453,
beta_U_mab_virus_nan_1798,0.352340870340634,
beta_U_mab_virus_nan_2944,0.308905215230338,
beta_U_mab_virus_nan_2946,0.370630777909339,
beta_U_mab_virus_nan_3430,0.37131279954,
beta_U_mab_virus_nan_4166,0.240042117345636,
beta_U_mab_virus_nan_4168,0.33642742489978,
beta_U_mab_virus_nan_Ce1176_A3,0.342747976610898,
beta_U_mab_virus_nan_PVO_4,0.33216834735254,
beta_U_mab_virus_nan_RHPA4259_7,0.295395020455052,
beta_U_mab_virus_nan_TRO_11,0.372629813313151,
L_pop,3.07779198407861e-06,
beta_L_goes_down_True,-0.235198344459201,
beta_L_mab_virus_PGDM1400___VRC07_523LS_1176,0.538034838664834,
beta_L_mab_virus_PGDM1400___VRC07_523LS_1798,0.529432231977483,
beta_L_mab_virus_PGDM1400___VRC07_523LS_2944,-1.55918173164592,
beta_L_mab_virus_PGDM1400___VRC07_523LS_2946,-4.85357832927972,
beta_L_mab_virus_PGDM1400___VRC07_523LS_3430,-1.72306096063921,
beta_L_mab_virus_PGDM1400___VRC07_523LS_4166,-3.50882594878637,
beta_L_mab_virus_PGDM1400___VRC07_523LS_4168,5.2375063047998,
beta_L_mab_virus_PGDM1400___VRC07_523LS_Ce1176_A3,3.94698533938816,
beta_L_mab_virus_PGDM1400___VRC07_523LS_PVO_4,-2.86689933184865,
