parameter,value,CV
L_goes_down_False,0.00140979300202971,
L_goes_down_True,0.00140952812330798,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.623236088621688,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|1176,0.80938245322796,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|1798,0.984174129488111,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|2944,10.8835143685234,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|2946,0.676215739760317,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|3430,7.78950049850173,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|4166,19.2622912479642,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|4168,0.821633602261898,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|Ce1176_A3,0.957932331193733,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|PVO.4,1.30633075200827,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|RHPA4259.7,5.29892101706168,
m_goes_down_False_mab_virus_PGDM1400 + VRC07-523LS|TRO.11,1.47824822859076,
m_goes_down_False_mab_virus_PGDM1400|1176,0.640146464419769,
m_goes_down_False_mab_virus_PGDM1400|1798,0.36116041829388,
m_goes_down_False_mab_virus_PGDM1400|2944,11.9810245233747,
m_goes_down_False_mab_virus_PGDM1400|2946,0.39023761957375,
m_goes_down_False_mab_virus_PGDM1400|3430,0.834344536386865,
m_goes_down_False_mab_virus_PGDM1400|4166,1.41572928846725,
m_goes_down_False_mab_virus_PGDM1400|4168,0.180615633844248,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.254736096639395,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.402629741099572,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.752123562205752,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.603721487279145,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|1176,0.705986863816423,
m_goes_down_False_mab_virus_PGT121 + VRC07-523LS|1798,1.31099103597982,
