id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,3.59175e-13,0.400688,49.9642,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,3.59175e-13,0.400688,20.7724,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,3.59175e-13,0.400688,50.693,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,3.59175e-13,0.400688,136.985,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,3.59175e-13,0.400688,34.4423,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,3.59175e-13,0.400688,58.2403,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,3.59175e-13,0.400688,32.9453,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,3.59175e-13,0.400688,64.5987,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,1,3.59175e-13,1.30328,3.23805,0.292305,0.344668,1,3.53924e-13,1.30328,3.28455,0.296075,0.351495,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,1,3.59175e-13,1.77316,1.62201,0.292305,0.344668,1,3.53924e-13,1.77316,1.57175,0.296075,0.351495,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,1,3.59175e-13,1.77316,1.78663,0.292305,0.344668,1,3.53924e-13,1.77316,1.89062,0.296075,0.351495,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,1,3.59175e-13,0.736949,0.951132,0.292305,0.344668,1,3.53924e-13,0.736949,1.0346,0.296075,0.351495,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,1,3.59175e-13,0.736949,1.23738,0.292305,0.344668,1,3.53924e-13,0.736949,1.22046,0.296075,0.351495,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,1,3.59175e-13,0.736949,1.25284,0.292305,0.344668,1,3.53924e-13,0.736949,1.20491,0.296075,0.351495,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,1,3.59175e-13,0.736949,0.978299,0.292305,0.344668,1,3.53924e-13,0.736949,1.02262,0.296075,0.351495,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,1,3.59175e-13,1.30328,2.67652,0.292305,0.344668,1,3.53924e-13,1.30328,2.59584,0.296075,0.351495,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,1,3.59175e-13,1.30328,2.87408,0.292305,0.344668,1,3.53924e-13,1.30328,2.79844,0.296075,0.351495,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,1,3.59175e-13,1.30328,3.30257,0.292305,0.344668,1,3.53924e-13,1.30328,3.30878,0.296075,0.351495,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,3.59175e-13,0.400688,35.5414,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,3.59175e-13,0.400688,218.775,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,1,3.59175e-13,0.400688,40.1086,0.292305,0.344668,1,3.53924e-13,0.400688,1,0.296075,0.351495,False,nan|2946,1313842
