"id","U","L","m","e","alpha","k"
"130_bNAb_Combinations|1313842|cc|1|1|nan|2946",1,2.40292826421586e-16,0.539417858044115,0.99999976613467,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|cc|2|1|nan|2946",1,2.40292826421586e-16,0.539417858044116,1.00000020094122,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|cc|3|1|nan|2946",1,2.40292826421586e-16,0.53941785804412,1.00000054919153,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|cc|4|1|nan|2946",1,2.40292826421586e-16,0.539417858044118,1.00000017262022,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|cc|5|1|nan|2946",1,2.40292826421586e-16,0.539417858044115,0.999999784848773,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|cc|6|1|nan|2946",1,2.40292826421586e-16,0.53941785804412,0.999999706707598,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|cc|7|1|nan|2946",1,2.40292826421586e-16,0.539417858044122,1.00000030005664,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|cc|8|1|nan|2946",1,2.40292826421586e-16,0.539417858044114,1.00000008952774,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|10|nan|2946",1,2.40278647689014e-16,1.38776709876335,3.05582111152177,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|11|nan|2946",1,2.40278647689014e-16,1.91688748279233,1.46775548862722,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|12|nan|2946",1,2.40278647689014e-16,1.91688748279219,1.74187700188884,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|3|nan|2946",1,2.40278647689014e-16,0.771797490886424,1.04195116976781,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|4|nan|2946",1,2.40278647689014e-16,0.771797490886433,1.21578053459234,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|5|nan|2946",1,2.40278647689014e-16,0.771797490886642,1.10351894394301,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|6|nan|2946",1,2.40278647689014e-16,0.771797490886614,0.949126864884892,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|7|nan|2946",1,2.40278647689014e-16,1.38776709876297,2.42346388856216,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|8|nan|2946",1,2.40278647689014e-16,1.38776709876311,2.60715120705003,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|sample|9|nan|2946",1,2.40278647689014e-16,1.38776709876318,3.08402512441406,0.320703537534621,0.434285851650583
