parameter,value,CV
L_goes_down_False,0.00177706987581315,
L_goes_down_True,0.00177706988876113,
m_goes_down_False,1.53141664183103,
m_goes_down_True,1.53141663261962,
e_goes_down_False,48.9121212582705,
e_goes_down_True,8.75350087043879,
alpha_run_id_1200432,0.211179032418001,
alpha_run_id_1313842,0.211179032675267,
alpha_run_id_1313860,0.211179030726129,
alpha_run_id_1313884,0.211179018227904,
alpha_run_id_1313920,0.211178246207161,
alpha_run_id_1313938,0.211186491090992,
alpha_run_id_1313956,0.211153989319005,
alpha_run_id_1313974,0.350364666514456,
alpha_run_id_1313992,0.261610426985721,
alpha_run_id_1314016,0.211172880403312,
alpha_run_id_1314040,0.21117902514398,
alpha_run_id_1314058,0.211179032626163,
alpha_run_id_1342240,0.211179032648193,
alpha_run_id_1342258,0.21117805811693,
alpha_run_id_1342276,0.211179032969047,
alpha_run_id_1342294,0.212051510837319,
alpha_run_id_1342312,0.211175553759158,
alpha_run_id_1342336,0.211162491725006,
alpha_run_id_1342348,0.211179033088886,
alpha_run_id_1342372,0.244916318039633,
alpha_run_id_1342384,0.211179008390392,
alpha_run_id_1342396,0.211179031791239,
alpha_run_id_1342408,0.211179031843441,
k_run_id_1200432,0.0730622736239288,
k_run_id_1313842,0.0730622735793885,
k_run_id_1313860,0.0730674428375949,
k_run_id_1313884,0.0730622737420504,
k_run_id_1313920,0.0731178689518673,
k_run_id_1313938,0.0730304709308816,
k_run_id_1313956,0.0730622734975056,
k_run_id_1313974,0.0730608848107106,
k_run_id_1313992,0.0729784216330012,
k_run_id_1314016,0.0730622736202507,
k_run_id_1314040,0.073062812235314,
k_run_id_1314058,0.0730622736799665,
k_run_id_1342240,0.0730617612478368,
k_run_id_1342258,0.0730613860281219,
k_run_id_1342276,0.0730622724342505,
k_run_id_1342294,0.073062961543256,
k_run_id_1342312,0.0730622727511291,
k_run_id_1342336,0.0730622714985846,
k_run_id_1342348,0.0730622742898401,
k_run_id_1342372,0.0730622733310946,
k_run_id_1342384,0.0730622737726445,
k_run_id_1342396,0.0730622736719355,
k_run_id_1342408,0.0730622744660324,
omega_e,1.86671042215442,562.224466814555
a,0.0025105276442982,
b,0.191883176128065,
