id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,2.63948e-16,1.14399,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,2.63948e-16,1.19981,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,2.63948e-16,1.22211,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,2.63948e-16,1.24437,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,2.63948e-16,1.2673,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,2.63948e-16,1.21112,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,2.63948e-16,1.21019,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,2.63948e-16,1.28373,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,1,2.63947e-16,1.53373,2.45585,0.1272,2.52965e-16,1,2.58958e-16,1.54674,2.45585,0.127287,2.61443e-16,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,1,2.63947e-16,1.62232,1.83201,0.1272,2.52965e-16,1,2.58958e-16,1.6109,1.83201,0.127287,2.61443e-16,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,1,2.63947e-16,1.86211,1.83201,0.1272,2.52965e-16,1,2.58958e-16,1.82832,1.83201,0.127287,2.61443e-16,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,1,2.63947e-16,1.02449,0.961593,0.1272,2.52965e-16,1,2.58958e-16,1.03816,0.961593,0.127287,2.61443e-16,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,1,2.63947e-16,1.06128,0.961593,0.1272,2.52965e-16,1,2.58958e-16,1.07707,0.961593,0.127287,2.61443e-16,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,1,2.63947e-16,0.786449,0.961593,0.1272,2.52965e-16,1,2.58958e-16,0.795786,0.961593,0.127287,2.61443e-16,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,1,2.63947e-16,0.793828,0.961593,0.1272,2.52965e-16,1,2.58958e-16,0.787514,0.961593,0.127287,2.61443e-16,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,1,2.63947e-16,1.41538,2.45585,0.1272,2.52965e-16,1,2.58958e-16,1.42925,2.45585,0.127287,2.61443e-16,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,1,2.63947e-16,1.45874,2.45585,0.1272,2.52965e-16,1,2.58958e-16,1.46737,2.45585,0.127287,2.61443e-16,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,1,2.63947e-16,1.57724,2.45585,0.1272,2.52965e-16,1,2.58958e-16,1.59188,2.45585,0.127287,2.61443e-16,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,2.63948e-16,1.25276,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,2.63948e-16,1.25914,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,1,2.63948e-16,1.20481,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|4|2|nan|2946,1,2.63948e-16,1.22361,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|5|2|nan|2946,1,2.63948e-16,1.19781,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|6|2|nan|2946,1,2.63948e-16,1.21286,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|7|2|nan|2946,1,2.63948e-16,1.23845,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|8|2|nan|2946,1,2.63948e-16,1.3225,23.0276,0.1272,2.52965e-16,1,2.58959e-16,1.21462,23.0276,0.127287,2.61443e-16,False,nan|2946,1313842
130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024,1,2.63948e-16,1.23343,16.7399,0.1272,2.53592e-16,1,2.58959e-16,1.21462,16.7399,0.127287,2.6208e-16,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024,1,2.63948e-16,1.31249,16.7399,0.1272,2.53592e-16,1,2.58959e-16,1.21462,16.7399,0.127287,2.6208e-16,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024,1,2.63948e-16,1.20271,16.7399,0.1272,2.53592e-16,1,2.58959e-16,1.21462,16.7399,0.127287,2.6208e-16,False,nan|PVO.4,1313860
