rep,id,U,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,3.34517e-10,0.333078,59.9167,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,3.34517e-10,0.333078,301.612,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,3.34517e-10,0.333078,0.00384276,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,3.34517e-10,0.333078,0.0134655,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,3.34517e-10,0.333078,1.90064,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,3.34517e-10,0.333078,4.09079,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,3.34517e-10,0.333078,203.615,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,3.34517e-10,0.333078,0.63022,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|sample|10|nan|2946,1,9.66437e-10,1.32632,2.48007,0.161946,1.15654e-11,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|11|nan|2946,1,3.82025e-10,1.60472,1.69728,0.161946,1.15654e-11,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|12|nan|2946,1,3.82025e-10,1.60472,2.21005,0.161946,1.15654e-11,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|3|nan|2946,1,3.34376e-10,0.812489,0.832888,0.161946,1.15654e-11,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|4|nan|2946,1,3.34376e-10,0.812489,1.06327,0.161946,1.15654e-11,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|5|nan|2946,1,3.34376e-10,0.812489,0.853739,0.161946,1.15654e-11,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|6|nan|2946,1,3.34376e-10,0.812489,0.704002,0.161946,1.15654e-11,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|7|nan|2946,1,9.66437e-10,1.32632,2.47407,0.161946,1.15654e-11,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|8|nan|2946,1,9.66437e-10,1.32632,2.8178,0.161946,1.15654e-11,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|9|nan|2946,1,9.66437e-10,1.32632,2.89003,0.161946,1.15654e-11,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,3.34517e-10,0.333078,67.3841,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,3.34517e-10,0.333078,0.0510619,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|3|2|nan|2946,1,3.34517e-10,0.333078,0.134085,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|4|2|nan|2946,1,3.34517e-10,0.333078,0.0285661,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|5|2|nan|2946,1,3.34517e-10,0.333078,42.3363,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|6|2|nan|2946,1,3.34517e-10,0.333078,0.0407886,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|7|2|nan|2946,1,3.34517e-10,0.333078,1.92533,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|8|2|nan|2946,1,3.34517e-10,0.333078,7.19704,0.161946,1.15654e-11,False,nan|2946,1313842
1,130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024,1,3.34517e-10,0.216907,0.617386,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024,1,3.34517e-10,0.216907,0.244182,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024,1,3.34517e-10,0.216907,3.76622,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024,1,3.34517e-10,0.216907,1.92709,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024,1,3.34517e-10,0.216907,98.3417,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024,1,3.34517e-10,0.216907,0.835583,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024,1,3.34517e-10,0.216907,0.60088,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024,1,3.34517e-10,0.216907,8.49061,0.141163,1.15676e-11,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|10|PVO.4|5024,1,3.34427e-10,1.42451,8.29877,0.141163,1.15676e-11,True,PGT121|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|11|PVO.4|5024,1,3.34426e-10,1.58164,8.81448,0.141163,1.15676e-11,True,VRC07-523LS|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|12|PVO.4|5024,1,3.34426e-10,1.58164,9.91883,0.141163,1.15676e-11,True,VRC07-523LS|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|3|PVO.4|5024,1,3.34427e-10,1.46335,0.929392,0.141163,1.15676e-11,True,PGDM1400|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|4|PVO.4|5024,1,3.34427e-10,1.46335,0.789842,0.141163,1.15676e-11,True,PGDM1400|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|5|PVO.4|5024,1,3.34427e-10,1.46335,0.805174,0.141163,1.15676e-11,True,PGDM1400|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|6|PVO.4|5024,1,3.34427e-10,1.46335,0.953854,0.141163,1.15676e-11,True,PGDM1400|PVO.4,1313860
