id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,7.37646e+15,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,7.01026e+19,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,2.42482e+19,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,2.67587e+12,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,6.13101e+12,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,1.62854e+15,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,9.99059e+12,1.50392,36.5426,0.176695,1.34283e-14,1,0.999999,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,2.36005e+13,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,1,0.000177338,1.50353,2.32979,0.176695,1.34283e-14,1,0.00010102,1.50367,2.32979,0.176856,1.33237e-14,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,1,0.000192144,1.50353,2.02691,0.176695,1.34283e-14,1,9.26295e-05,1.50367,2.02691,0.176856,1.33237e-14,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,1,0.000318466,1.50353,2.02691,0.176695,1.34283e-14,1,0.000105106,1.50367,2.02691,0.176856,1.33237e-14,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,1,0.00342538,1.50353,0.347222,0.176695,1.34283e-14,1,0.00166801,1.50367,0.347222,0.176856,1.33237e-14,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,1,0.00279068,1.50353,0.347222,0.176695,1.34283e-14,1,0.00162201,1.50367,0.347222,0.176856,1.33237e-14,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,1,0.0439778,1.50353,0.347222,0.176695,1.34283e-14,1,0.0393325,1.50367,0.347222,0.176856,1.33237e-14,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,1,0.0326723,1.50353,0.347222,0.176695,1.34283e-14,1,0.0345283,1.50367,0.347222,0.176856,1.33237e-14,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,1,0.000356012,1.50353,2.32979,0.176695,1.34283e-14,1,0.000332276,1.50367,2.32979,0.176856,1.33237e-14,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,1,0.000737268,1.50353,2.32979,0.176695,1.34283e-14,1,0.000483841,1.50367,2.32979,0.176856,1.33237e-14,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,1,0.000203378,1.50353,2.32979,0.176695,1.34283e-14,1,9.18533e-05,1.50367,2.32979,0.176856,1.33237e-14,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,3.82435e+11,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,9.65106e+12,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,1,1.15967e+13,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|4|2|nan|2946,1,1.28487e+13,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|5|2|nan|2946,1,2.50642e+10,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|6|2|nan|2946,1,1.20816e+12,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|7|2|nan|2946,1,2.33843e+12,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|8|2|nan|2946,1,6.95422e+11,1.50392,36.5426,0.176695,1.34283e-14,1,1,1.50409,36.5426,0.176856,1.33237e-14,False,nan|2946,1313842
130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024,1,2.35693e+15,1.50392,26.5149,0.136416,1.34283e-14,1,1,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024,1,4.85656e+11,1.50392,26.5149,0.136416,1.34283e-14,1,1,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024,1,1.86897e+14,1.50392,26.5149,0.136416,1.34283e-14,1,1,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024,1,4.16099e+17,1.50392,26.5149,0.136416,1.34283e-14,1,1,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024,1,2.70958e+15,1.50392,26.5149,0.136416,1.34283e-14,1,1,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024,1,2.44376e+12,1.50392,26.5149,0.136416,1.34283e-14,1,1,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024,1,3.46591e+17,1.50392,26.5149,0.136416,1.34283e-14,1,0.999999,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024,1,2.24046e+16,1.50392,26.5149,0.136416,1.34283e-14,1,1,1.50409,26.5149,0.136358,1.33237e-14,False,nan|PVO.4,1313860
