parameter,value,CV
L_goes_down_False,4.51769042032355e-10,
L_goes_down_True,0.000367741865618916,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.63660507031096,
m_goes_down_False_mab_virus_PGDM1400|1176,1.636544792097,
m_goes_down_False_mab_virus_PGDM1400|1798,1.63629861052576,
m_goes_down_False_mab_virus_PGDM1400|2944,1.63691258670358,
m_goes_down_False_mab_virus_PGDM1400|2946,0.597750376863536,
m_goes_down_False_mab_virus_PGDM1400|3430,1.63656255521025,
m_goes_down_False_mab_virus_PGDM1400|4166,1.6365026198952,
m_goes_down_False_mab_virus_PGDM1400|4168,1.63655433050164,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.63661539799839,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,1.63656450625853,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.63656351871038,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,1.63664168702996,
m_goes_down_False_mab_virus_PGT121|1176,0.557230658410023,
m_goes_down_False_mab_virus_PGT121|1798,1.63652028999393,
m_goes_down_False_mab_virus_PGT121|2944,1.63651928129774,
m_goes_down_False_mab_virus_PGT121|2946,1.63666402059382,
m_goes_down_False_mab_virus_PGT121|3430,1.63644782346696,
m_goes_down_False_mab_virus_PGT121|4166,1.63655209160188,
m_goes_down_False_mab_virus_PGT121|4168,0.718003990031408,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.6365363226565,
m_goes_down_False_mab_virus_PGT121|PVO.4,1.63671348641855,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.63653205390058,
m_goes_down_False_mab_virus_PGT121|TRO.11,1.63656120345717,
m_goes_down_False_mab_virus_VRC07-523LS|1176,1.63657666618339,
m_goes_down_False_mab_virus_VRC07-523LS|1798,1.63653725010539,
m_goes_down_False_mab_virus_VRC07-523LS|2944,1.6365200654263,
m_goes_down_False_mab_virus_VRC07-523LS|2946,1.63662661883641,
m_goes_down_False_mab_virus_VRC07-523LS|3430,1.63662866602063,
m_goes_down_False_mab_virus_VRC07-523LS|4166,1.63655435791482,
m_goes_down_False_mab_virus_VRC07-523LS|4168,1.63653747220406,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,1.63653946073757,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,1.63656531090998,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,1.63654324570835,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.63652229747828,
m_goes_down_False_mab_virus_nan|1176,1.63645112226566,
m_goes_down_False_mab_virus_nan|1798,1.63629754026157,
m_goes_down_False_mab_virus_nan|2944,1.6368078106005,
m_goes_down_False_mab_virus_nan|2946,1.63676261054018,
m_goes_down_False_mab_virus_nan|3430,1.636589810561,
m_goes_down_False_mab_virus_nan|4166,1.63646662596749,
m_goes_down_False_mab_virus_nan|4168,1.63660009752463,
m_goes_down_False_mab_virus_nan|Ce1176_A3,1.63635114819274,
m_goes_down_False_mab_virus_nan|PVO.4,1.63660408011046,
m_goes_down_False_mab_virus_nan|RHPA4259.7,1.6365670915497,
m_goes_down_False_mab_virus_nan|TRO.11,1.63653109967155,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.63654929127437,
m_goes_down_True_mab_virus_PGDM1400|1176,1.63648901511482,
m_goes_down_True_mab_virus_PGDM1400|1798,1.63624284193398,
m_goes_down_True_mab_virus_PGDM1400|2944,1.63685679718616,
m_goes_down_True_mab_virus_PGDM1400|2946,0.597730004239287,
m_goes_down_True_mab_virus_PGDM1400|3430,1.63650677762267,
m_goes_down_True_mab_virus_PGDM1400|4166,1.63644684435034,
m_goes_down_True_mab_virus_PGDM1400|4168,1.63649855319438,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,1.63655961860981,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,1.63650872860446,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.63650774108996,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,1.63658590674539,
m_goes_down_True_mab_virus_PGT121|1176,0.55721166678532,
m_goes_down_True_mab_virus_PGT121|1798,1.63646451384684,
m_goes_down_True_mab_virus_PGT121|2944,1.63646350518503,
m_goes_down_True_mab_virus_PGT121|2946,1.63660823954808,
m_goes_down_True_mab_virus_PGT121|3430,1.63639204978969,
m_goes_down_True_mab_virus_PGT121|4166,1.63649631437092,
m_goes_down_True_mab_virus_PGT121|4168,0.717979518904221,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,1.63648054596298,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.63665770368691,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.63647627735255,
m_goes_down_True_mab_virus_PGT121|TRO.11,1.63650542591566,
m_goes_down_True_mab_virus_VRC07-523LS|1176,1.63652088811487,
m_goes_down_True_mab_virus_VRC07-523LS|1798,1.63648147338026,
m_goes_down_True_mab_virus_VRC07-523LS|2944,1.63646428928686,
m_goes_down_True_mab_virus_VRC07-523LS|2946,1.6365708390654,
m_goes_down_True_mab_virus_VRC07-523LS|3430,1.63657288617985,
m_goes_down_True_mab_virus_VRC07-523LS|4166,1.63649858060662,
m_goes_down_True_mab_virus_VRC07-523LS|4168,1.63648169547136,
m_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,1.6364836839371,
m_goes_down_True_mab_virus_VRC07-523LS|PVO.4,1.63650953322848,
m_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,1.63648746877888,
m_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.63646652126277,
m_goes_down_True_mab_virus_nan|1176,1.63639534847596,
m_goes_down_True_mab_virus_nan|1798,1.63624177170627,
m_goes_down_True_mab_virus_nan|2944,1.63675202465409,
m_goes_down_True_mab_virus_nan|2946,1.63670682613428,
m_goes_down_True_mab_virus_nan|3430,1.6365340320445,
m_goes_down_True_mab_virus_nan|4166,1.63641085164938,
m_goes_down_True_mab_virus_nan|4168,1.63654431865752,
m_goes_down_True_mab_virus_nan|Ce1176_A3,1.63629537781037,
m_goes_down_True_mab_virus_nan|PVO.4,1.63654830110762,
m_goes_down_True_mab_virus_nan|RHPA4259.7,1.63651131380751,
m_goes_down_True_mab_virus_nan|TRO.11,1.63647532315604,
