parameter,value,CV
L_goes_down_False,1,
L_goes_down_True,1,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.554105690335486,
m_goes_down_False_mab_virus_PGDM1400|1176,0.258663483425642,
m_goes_down_False_mab_virus_PGDM1400|1798,0.205460770138776,
m_goes_down_False_mab_virus_PGDM1400|2944,0.463607599559113,
m_goes_down_False_mab_virus_PGDM1400|2946,0.287714205155558,
m_goes_down_False_mab_virus_PGDM1400|3430,0.413515561675401,
m_goes_down_False_mab_virus_PGDM1400|4166,0.380624089316604,
m_goes_down_False_mab_virus_PGDM1400|4168,0.45273116122294,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.206174199442273,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.510100770888011,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.616066886406977,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.453794466916673,
m_goes_down_False_mab_virus_PGT121|1176,0.304976491704813,
m_goes_down_False_mab_virus_PGT121|1798,0.595398589924384,
m_goes_down_False_mab_virus_PGT121|2944,0.660519542542538,
m_goes_down_False_mab_virus_PGT121|2946,0.530817730163472,
m_goes_down_False_mab_virus_PGT121|3430,0.36424872504422,
m_goes_down_False_mab_virus_PGT121|4166,0.720969522499948,
m_goes_down_False_mab_virus_PGT121|4168,0.181632327683524,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.792253924959937,
m_goes_down_False_mab_virus_PGT121|PVO.4,0.578519309584336,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.645278421209956,
m_goes_down_False_mab_virus_PGT121|TRO.11,0.704133384933019,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.519795322397878,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.748392884804133,
m_goes_down_False_mab_virus_VRC07-523LS|2944,0.536650266974149,
m_goes_down_False_mab_virus_VRC07-523LS|2946,0.616330955122733,
m_goes_down_False_mab_virus_VRC07-523LS|3430,0.615446469557972,
m_goes_down_False_mab_virus_VRC07-523LS|4166,0.65680031547766,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.364646228541526,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.655765968331454,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.617122676016364,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.568657270985778,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.70140784750798,
m_goes_down_False_mab_virus_nan|1176,0.938745660425783,
m_goes_down_False_mab_virus_nan|1798,0.913229156896763,
m_goes_down_False_mab_virus_nan|2944,0.540767947020326,
m_goes_down_False_mab_virus_nan|2946,0.263961098444846,
m_goes_down_False_mab_virus_nan|3430,0.934866548199523,
m_goes_down_False_mab_virus_nan|4166,0.482176976084029,
m_goes_down_False_mab_virus_nan|4168,0.0604903420741069,
m_goes_down_False_mab_virus_nan|Ce1176_A3,0.514500918059504,
m_goes_down_False_mab_virus_nan|PVO.4,0.315471116634368,
m_goes_down_False_mab_virus_nan|RHPA4259.7,0.453463631619237,
m_goes_down_False_mab_virus_nan|TRO.11,1.26900431269008,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.48947049757318,
m_goes_down_True_mab_virus_PGDM1400|1176,0.695303502710354,
m_goes_down_True_mab_virus_PGDM1400|1798,0.552291306276038,
m_goes_down_True_mab_virus_PGDM1400|2944,1.24620601094339,
m_goes_down_True_mab_virus_PGDM1400|2946,0.773393646350134,
m_goes_down_True_mab_virus_PGDM1400|3430,1.11155550312071,
m_goes_down_True_mab_virus_PGDM1400|4166,1.02314118333542,
m_goes_down_True_mab_virus_PGDM1400|4168,1.2169694694262,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.55420904853748,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,1.37118254202915,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.65602603950771,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,1.21982770114686,
m_goes_down_True_mab_virus_PGT121|1176,0.819795744332927,
m_goes_down_True_mab_virus_PGT121|1798,1.60046837536013,
m_goes_down_True_mab_virus_PGT121|2944,1.77551753906728,
m_goes_down_True_mab_virus_PGT121|2946,1.4268710147852,
m_goes_down_True_mab_virus_PGT121|3430,0.979123187497907,
m_goes_down_True_mab_virus_PGT121|4166,1.9380108382625,
m_goes_down_True_mab_virus_PGT121|4168,0.488238973554587,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,2.12962773780561,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.55509582184684,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.73454845867205,
m_goes_down_True_mab_virus_PGT121|TRO.11,1.89275425520189,
m_goes_down_True_mab_virus_VRC07-523LS|1176,1.39724209837914,
m_goes_down_True_mab_virus_VRC07-523LS|1798,2.01172653873042,
m_goes_down_True_mab_virus_VRC07-523LS|2944,1.4425492358485,
m_goes_down_True_mab_virus_VRC07-523LS|2946,1.65673587261051,
m_goes_down_True_mab_virus_VRC07-523LS|3430,1.65435832049866,
m_goes_down_True_mab_virus_VRC07-523LS|4166,1.76552002580667,
m_goes_down_True_mab_virus_VRC07-523LS|4168,0.980191701577885,
m_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,1.76273963645967,
m_goes_down_True_mab_virus_VRC07-523LS|PVO.4,1.65886406752701,
m_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,1.52858604980391,
m_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.88542784138692,
m_goes_down_True_mab_virus_nan|1176,2.52340661775641,
m_goes_down_True_mab_virus_nan|1798,2.45481667206449,
m_goes_down_True_mab_virus_nan|2944,1.45361781546102,
m_goes_down_True_mab_virus_nan|2946,0.709543820787268,
m_goes_down_True_mab_virus_nan|3430,2.51297932325545,
m_goes_down_True_mab_virus_nan|4166,1.29612164793215,
m_goes_down_True_mab_virus_nan|4168,0.162601795070794,
m_goes_down_True_mab_virus_nan|Ce1176_A3,1.38301041081164,
m_goes_down_True_mab_virus_nan|PVO.4,0.848005947708033,
m_goes_down_True_mab_virus_nan|RHPA4259.7,1.21893839532727,
m_goes_down_True_mab_virus_nan|TRO.11,3.41116237932983,
e_goes_down_False_mab_virus_Clinical VRC01|PVO.4,15.1819403130375,
e_goes_down_False_mab_virus_PGDM1400|1176,411.138674015079,
e_goes_down_False_mab_virus_PGDM1400|1798,30.2166219123514,
e_goes_down_False_mab_virus_PGDM1400|2944,5877.85063687392,
e_goes_down_False_mab_virus_PGDM1400|2946,8.57683919927494,
e_goes_down_False_mab_virus_PGDM1400|3430,3771.59678515485,
e_goes_down_False_mab_virus_PGDM1400|4166,1439.88234105753,
e_goes_down_False_mab_virus_PGDM1400|4168,2.13063099438058,
e_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,6.9623219838282,
e_goes_down_False_mab_virus_PGDM1400|PVO.4,8.44299106741082,
e_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,16.0064021666361,
e_goes_down_False_mab_virus_PGDM1400|TRO.11,16.1247509739651,
e_goes_down_False_mab_virus_PGT121|1176,5.91376214068315,
e_goes_down_False_mab_virus_PGT121|1798,133.66460726206,
e_goes_down_False_mab_virus_PGT121|2944,533.964999240029,
e_goes_down_False_mab_virus_PGT121|2946,22.1368449019956,
e_goes_down_False_mab_virus_PGT121|3430,193.564685701615,
e_goes_down_False_mab_virus_PGT121|4166,507.726544145097,
e_goes_down_False_mab_virus_PGT121|4168,141.544508375397,
e_goes_down_False_mab_virus_PGT121|Ce1176_A3,265.420295836442,
e_goes_down_False_mab_virus_PGT121|PVO.4,51.2745496411313,
e_goes_down_False_mab_virus_PGT121|RHPA4259.7,299.754451251009,
e_goes_down_False_mab_virus_PGT121|TRO.11,339.670958209634,
e_goes_down_False_mab_virus_VRC07-523LS|1176,165.266546748818,
e_goes_down_False_mab_virus_VRC07-523LS|1798,17.3498424877318,
e_goes_down_False_mab_virus_VRC07-523LS|2944,118.119492479588,
e_goes_down_False_mab_virus_VRC07-523LS|2946,13.9683042243095,
e_goes_down_False_mab_virus_VRC07-523LS|3430,166.941457597523,
e_goes_down_False_mab_virus_VRC07-523LS|4166,347.162266797114,
e_goes_down_False_mab_virus_VRC07-523LS|4168,70.6727848356432,
e_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,24.9698420084391,
e_goes_down_False_mab_virus_VRC07-523LS|PVO.4,64.5552657311461,
e_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,321.416421705526,
e_goes_down_False_mab_virus_VRC07-523LS|TRO.11,64.834765592135,
e_goes_down_False_mab_virus_nan|1176,157.068260086377,
e_goes_down_False_mab_virus_nan|1798,4.23003063789423,
e_goes_down_False_mab_virus_nan|2944,18.7834956795157,
e_goes_down_False_mab_virus_nan|2946,31.6412467545528,
e_goes_down_False_mab_virus_nan|3430,40.5919865770802,
e_goes_down_False_mab_virus_nan|4166,25.2313048839801,
e_goes_down_False_mab_virus_nan|4168,7.15150147877134,
e_goes_down_False_mab_virus_nan|Ce1176_A3,15.7781425075436,
e_goes_down_False_mab_virus_nan|PVO.4,50.3763036944625,
e_goes_down_False_mab_virus_nan|RHPA4259.7,24.9099859441298,
e_goes_down_False_mab_virus_nan|TRO.11,21.1733638803968,
e_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.87745664223962,
e_goes_down_True_mab_virus_PGDM1400|1176,50.8429764901881,
e_goes_down_True_mab_virus_PGDM1400|1798,3.73670271030313,
e_goes_down_True_mab_virus_PGDM1400|2944,726.877427571936,
e_goes_down_True_mab_virus_PGDM1400|2946,1.06064464700021,
e_goes_down_True_mab_virus_PGDM1400|3430,466.410043125896,
e_goes_down_True_mab_virus_PGDM1400|4166,178.061341931409,
e_goes_down_True_mab_virus_PGDM1400|4168,0.263481954880714,
e_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.860987290453521,
e_goes_down_True_mab_virus_PGDM1400|PVO.4,1.04409247652409,
e_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.97941273951019,
e_goes_down_True_mab_virus_PGDM1400|TRO.11,1.99404820440067,
e_goes_down_True_mab_virus_PGT121|1176,0.73131838109759,
e_goes_down_True_mab_virus_PGT121|1798,16.5294751238749,
e_goes_down_True_mab_virus_PGT121|2944,66.0321483207108,
e_goes_down_True_mab_virus_PGT121|2946,2.73752666935396,
e_goes_down_True_mab_virus_PGT121|3430,23.9369472794887,
e_goes_down_True_mab_virus_PGT121|4166,62.7874008915707,
e_goes_down_True_mab_virus_PGT121|4168,17.5039337490825,
e_goes_down_True_mab_virus_PGT121|Ce1176_A3,32.822886082315,
e_goes_down_True_mab_virus_PGT121|PVO.4,6.34080636708334,
e_goes_down_True_mab_virus_PGT121|RHPA4259.7,37.0687786895604,
e_goes_down_True_mab_virus_PGT121|TRO.11,42.0050061795419,
e_goes_down_True_mab_virus_VRC07-523LS|1176,20.4374914889582,
e_goes_down_True_mab_virus_VRC07-523LS|1798,2.14554769342828,
e_goes_down_True_mab_virus_VRC07-523LS|2944,14.6071069416164,
e_goes_down_True_mab_virus_VRC07-523LS|2946,1.72737377476271,
e_goes_down_True_mab_virus_VRC07-523LS|3430,20.6446173525317,
e_goes_down_True_mab_virus_VRC07-523LS|4166,42.9314099709303,
e_goes_down_True_mab_virus_VRC07-523LS|4168,8.73966611509511,
e_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,3.08786589644013,
e_goes_down_True_mab_virus_VRC07-523LS|PVO.4,7.98315037073384,
e_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,39.7475805735927,
e_goes_down_True_mab_virus_VRC07-523LS|TRO.11,8.01771438954164,
e_goes_down_True_mab_virus_nan|1176,19.4236600924424,
e_goes_down_True_mab_virus_nan|1798,0.523101721798479,
e_goes_down_True_mab_virus_nan|2944,2.32283871500286,
e_goes_down_True_mab_virus_nan|2946,3.91287725173468,
e_goes_down_True_mab_virus_nan|3430,5.0197598758438,
e_goes_down_True_mab_virus_nan|4166,3.12019939283531,
e_goes_down_True_mab_virus_nan|4168,0.884381948318927,
e_goes_down_True_mab_virus_nan|Ce1176_A3,1.95118527949636,
e_goes_down_True_mab_virus_nan|PVO.4,6.22972584745504,
e_goes_down_True_mab_virus_nan|RHPA4259.7,3.08046386723973,
e_goes_down_True_mab_virus_nan|TRO.11,2.61837893155663,
alpha_run_id_1200432,0.124997436614704,
alpha_run_id_1313842,0.124996563279133,
