id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,0,-1.32151e-10,0,0,0,0,0,1.0651e-11,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,0,-1.59299e-09,0,0,0,0,0,4.95248e-12,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,0,-1.82205e-10,0,0,0,0,0,9.10205e-12,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,0,6.95912e-10,0,0,0,0,0,-1.01217e-11,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,0,1.00049e-09,0,0,0,0,0,3.42126e-12,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,0,1.7567e-09,0,0,0,0,0,7.81597e-12,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,0,-1.76205e-10,0,0,0,0,0,-9.14824e-12,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,0,-2.54391e-10,0,0,0,0,0,9.67404e-12,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,0,1.46995e-09,0,0,0,0,0,4.96492e-12,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,0,-1.73249e-10,0,0,0,0,0,-1.70459e-11,0,0,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,0,-5.64071e-10,0,0,0,0,0,-1.76161e-11,0,0,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,0,3.95712e-10,0,0,0,0,0,-2.2812e-11,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,0,-2.62303e-09,0,0,0,0,0,1.14966e-11,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,0,3.61655e-10,0,0,0,0,0,-8.03269e-12,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,0,-6.98584e-10,0,0,0,0,0,6.42331e-12,0,0,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,0,-8.51224e-10,0,0,0,0,0,1.19229e-11,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,0,8.54479e-10,0,0,0,0,0,-1.04698e-11,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,0,-3.2043e-10,0,0,0,0,0,-9.31344e-12,0,0,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,0,-2.51986e-09,0,0,0,0,0,2.39346e-11,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,0,-1.55072e-09,0,0,0,0,0,2.29576e-11,0,0,0,0,False,nan|2946,1313842
