parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.90034950656359e-07,
L_goes_down_False_mab_virus_PGDM1400|1176,0.000206419707072191,
L_goes_down_False_mab_virus_PGDM1400|1798,1.03173885190721e-06,
L_goes_down_False_mab_virus_PGDM1400|2944,4.25544736202064e-06,
L_goes_down_False_mab_virus_PGDM1400|2946,7.78894848353273e-06,
L_goes_down_False_mab_virus_PGDM1400|3430,1.74348084581358e-07,
L_goes_down_False_mab_virus_PGDM1400|4166,2.68103007344555e-07,
L_goes_down_False_mab_virus_PGDM1400|4168,1.40996874735951e-06,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,3.10233411776657e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,2.0935330766755e-07,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,9.39587409000983e-08,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,2.96021075076278e-07,
L_goes_down_False_mab_virus_PGT121|1176,5.70586785853281e-08,
L_goes_down_False_mab_virus_PGT121|1798,6.8960666834464e-08,
L_goes_down_False_mab_virus_PGT121|2944,5.44620730570278e-06,
L_goes_down_False_mab_virus_PGT121|2946,5.58468731133475e-06,
L_goes_down_False_mab_virus_PGT121|3430,1.04315295690344e-06,
L_goes_down_False_mab_virus_PGT121|4166,1.77563430498359e-07,
L_goes_down_False_mab_virus_PGT121|4168,6.56971992591692e-06,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.90700560239102e-08,
L_goes_down_False_mab_virus_PGT121|PVO.4,2.20007401151083e-06,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.26396514323638e-06,
L_goes_down_False_mab_virus_PGT121|TRO.11,7.39398611099543e-07,
L_goes_down_False_mab_virus_VRC07-523LS|1176,2.85551945916594e-09,
L_goes_down_False_mab_virus_VRC07-523LS|1798,4.42386483047593e-08,
L_goes_down_False_mab_virus_VRC07-523LS|2944,4.06176523860924e-09,
L_goes_down_False_mab_virus_VRC07-523LS|2946,2.69797117367949e-06,
L_goes_down_False_mab_virus_VRC07-523LS|3430,1.42361582932286e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4166,1.9964932252782e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4168,1.5228285728745e-07,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,5.09316516564236e-07,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,1.99774958920688e-07,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,4.51661229489762e-06,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.41331234171109e-07,
L_goes_down_False_mab_virus_nan|1176,6.63837254260968e-09,
L_goes_down_False_mab_virus_nan|1798,5.82550331744848e-08,
L_goes_down_False_mab_virus_nan|2944,1.54195470525808e-07,
L_goes_down_False_mab_virus_nan|2946,4.34298806335991e-08,
L_goes_down_False_mab_virus_nan|3430,2.11670513242082e-07,
L_goes_down_False_mab_virus_nan|4166,5.62703845601391e-08,
L_goes_down_False_mab_virus_nan|4168,2.45623966352559e-08,
L_goes_down_False_mab_virus_nan|Ce1176_A3,5.71565843464173e-08,
L_goes_down_False_mab_virus_nan|PVO.4,6.28876152780395e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,1.43599250765605e-07,
L_goes_down_False_mab_virus_nan|TRO.11,5.6530482940685e-08,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.90678924834699e-08,
L_goes_down_True_mab_virus_PGDM1400|1176,2.07119204510931e-05,
L_goes_down_True_mab_virus_PGDM1400|1798,1.0352351202364e-07,
L_goes_down_True_mab_virus_PGDM1400|2944,4.26986785787661e-07,
L_goes_down_True_mab_virus_PGDM1400|2946,7.81534300560616e-07,
L_goes_down_True_mab_virus_PGDM1400|3430,1.74938900450364e-08,
L_goes_down_True_mab_virus_PGDM1400|4166,2.69011531872643e-08,
L_goes_down_True_mab_virus_PGDM1400|4168,1.41474672879099e-07,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,3.1128470421393e-07,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,2.10062746240941e-08,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,9.42771402406411e-09,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,2.97024205963177e-08,
L_goes_down_True_mab_virus_PGT121|1176,5.72520341524609e-09,
L_goes_down_True_mab_virus_PGT121|1798,6.91943548408499e-09,
L_goes_down_True_mab_virus_PGT121|2944,5.46466294695534e-07,
L_goes_down_True_mab_virus_PGT121|2946,5.60361222177982e-07,
L_goes_down_True_mab_virus_PGT121|3430,1.04668790437486e-07,
L_goes_down_True_mab_virus_PGT121|4166,1.78165142256452e-08,
L_goes_down_True_mab_virus_PGT121|4168,6.59198283059107e-07,
L_goes_down_True_mab_virus_PGT121|Ce1176_A3,1.91346789978236e-09,
L_goes_down_True_mab_virus_PGT121|PVO.4,2.20752943404735e-07,
L_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.26824836014861e-07,
L_goes_down_True_mab_virus_PGT121|TRO.11,7.41904221838012e-08,
L_goes_down_True_mab_virus_VRC07-523LS|1176,2.86519599914503e-10,
L_goes_down_True_mab_virus_VRC07-523LS|1798,4.43885604503648e-09,
L_goes_down_True_mab_virus_VRC07-523LS|2944,4.07552940105994e-10,
L_goes_down_True_mab_virus_VRC07-523LS|2946,2.7071138275111e-07,
L_goes_down_True_mab_virus_VRC07-523LS|3430,1.42844005681782e-08,
L_goes_down_True_mab_virus_VRC07-523LS|4166,2.00325877066798e-08,
L_goes_down_True_mab_virus_VRC07-523LS|4168,1.52798900402458e-08,
L_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,5.11042444790264e-08,
L_goes_down_True_mab_virus_VRC07-523LS|PVO.4,2.00451939205523e-08,
L_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,4.53191780412865e-07,
L_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.41810165362896e-08,
L_goes_down_True_mab_virus_nan|1176,6.66086809139628e-10,
L_goes_down_True_mab_virus_nan|1798,5.84524428456697e-09,
L_goes_down_True_mab_virus_nan|2944,1.54717994940884e-08,
L_goes_down_True_mab_virus_nan|2946,4.3577052096532e-09,
L_goes_down_True_mab_virus_nan|3430,2.12387804163427e-08,
L_goes_down_True_mab_virus_nan|4166,5.64610688239384e-09,
L_goes_down_True_mab_virus_nan|4168,2.46456315830202e-09,
L_goes_down_True_mab_virus_nan|Ce1176_A3,5.73502716882148e-09,
L_goes_down_True_mab_virus_nan|PVO.4,6.31007234470191e-09,
L_goes_down_True_mab_virus_nan|RHPA4259.7,1.4408586761794e-08,
L_goes_down_True_mab_virus_nan|TRO.11,5.6722048603618e-09,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.53240144492224,
m_goes_down_False_mab_virus_PGDM1400|1176,1.53246341957928,
m_goes_down_False_mab_virus_PGDM1400|1798,0.597766716575059,
m_goes_down_False_mab_virus_PGDM1400|2944,1.53243170022447,
m_goes_down_False_mab_virus_PGDM1400|2946,0.84622511946424,
m_goes_down_False_mab_virus_PGDM1400|3430,0.891394137978694,
m_goes_down_False_mab_virus_PGDM1400|4166,0.946189534567477,
m_goes_down_False_mab_virus_PGDM1400|4168,1.53243169712145,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.53245424734712,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,1.52695139071305,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.53240164272617,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,1.53249903151573,
m_goes_down_False_mab_virus_PGT121|1176,0.81425934556918,
m_goes_down_False_mab_virus_PGT121|1798,1.53239356163294,
m_goes_down_False_mab_virus_PGT121|2944,1.53222772728507,
m_goes_down_False_mab_virus_PGT121|2946,1.5355590153913,
m_goes_down_False_mab_virus_PGT121|3430,0.94854189907101,
m_goes_down_False_mab_virus_PGT121|4166,1.97166721203641,
m_goes_down_False_mab_virus_PGT121|4168,1.53253380300255,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.53238555652404,
m_goes_down_False_mab_virus_PGT121|PVO.4,1.68201234631714,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.53234853432034,
m_goes_down_False_mab_virus_PGT121|TRO.11,1.53236865124904,
m_goes_down_False_mab_virus_VRC07-523LS|1176,1.53239822604337,
m_goes_down_False_mab_virus_VRC07-523LS|1798,1.53229693841292,
m_goes_down_False_mab_virus_VRC07-523LS|2944,1.53228795710381,
m_goes_down_False_mab_virus_VRC07-523LS|2946,1.53240220499011,
m_goes_down_False_mab_virus_VRC07-523LS|3430,1.53231393631159,
m_goes_down_False_mab_virus_VRC07-523LS|4166,1.53224416085742,
