rep,id,U,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,8.61036e-08,0.491389,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,8.61036e-08,0.140306,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,8.61036e-08,1.72888,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,8.61036e-08,3.21263,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,8.61036e-08,0.599535,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,8.61036e-08,11.2588,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,8.61036e-08,1.56053,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,8.61036e-08,0.816809,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|sample|10|nan|2946,1,2.13674e-07,1.11573,5.74542,0.00717981,9.77851e-16,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|11|nan|2946,1,8.15007e-08,1.05873,5.74542,0.00717981,9.77851e-16,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|12|nan|2946,1,8.15007e-08,0.943264,5.74542,0.00717981,9.77851e-16,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|3|nan|2946,1,5.6534e-07,0.402883,5.74542,0.00717981,9.77851e-16,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|4|nan|2946,1,5.6534e-07,0.457126,5.74542,0.00717981,9.77851e-16,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|5|nan|2946,1,5.6534e-07,0.636441,5.74542,0.00717981,9.77851e-16,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|6|nan|2946,1,5.6534e-07,0.481064,5.74542,0.00717981,9.77851e-16,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|7|nan|2946,1,2.13674e-07,0.734219,5.74542,0.00717981,9.77851e-16,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|8|nan|2946,1,2.13674e-07,1.01976,5.74542,0.00717981,9.77851e-16,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|9|nan|2946,1,2.13674e-07,0.939792,5.74542,0.00717981,9.77851e-16,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,8.61036e-08,19.4373,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,8.61036e-08,6.47254,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|3|2|nan|2946,1,8.61036e-08,0.344608,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|4|2|nan|2946,1,8.61036e-08,0.741976,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|5|2|nan|2946,1,8.61036e-08,2.16966,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|6|2|nan|2946,1,8.61036e-08,0.205263,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|7|2|nan|2946,1,8.61036e-08,0.506077,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|8|2|nan|2946,1,8.61036e-08,1.81428,5.74629,0.00717981,9.77851e-16,False,nan|2946,1313842
1,130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024,1,5.0163e-08,0.412191,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024,1,5.0163e-08,1.04756,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024,1,5.0163e-08,2.66604,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024,1,5.0163e-08,1.41024,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024,1,5.0163e-08,9.77593,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024,1,5.0163e-08,2.04553,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024,1,5.0163e-08,7.20268,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024,1,5.0163e-08,2.55575,5.74629,0.151167,9.77851e-16,False,nan|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|10|PVO.4|5024,1,7.43423e-08,1.58064,5.74542,0.151167,9.77851e-16,True,PGT121|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|11|PVO.4|5024,1,4.36653e-08,1.87212,5.74542,0.151167,9.77851e-16,True,VRC07-523LS|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|12|PVO.4|5024,1,4.36653e-08,2.66356,5.74542,0.151167,9.77851e-16,True,VRC07-523LS|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|3|PVO.4|5024,1,2.49454e-09,0.33163,5.74542,0.151167,9.77851e-16,True,PGDM1400|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|4|PVO.4|5024,1,2.49454e-09,0.52353,5.74542,0.151167,9.77851e-16,True,PGDM1400|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|5|PVO.4|5024,1,2.49454e-09,0.587809,5.74542,0.151167,9.77851e-16,True,PGDM1400|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|6|PVO.4|5024,1,2.49454e-09,0.577775,5.74542,0.151167,9.77851e-16,True,PGDM1400|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|7|PVO.4|5024,1,7.43423e-08,1.4247,5.74542,0.151167,9.77851e-16,True,PGT121|PVO.4,1313860
1,130_bNAb_Combinations|1313860|sample|8|PVO.4|5024,1,7.43423e-08,1.85014,5.74542,0.151167,9.77851e-16,True,PGT121|PVO.4,1313860
