parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.72942024084968e-07,
L_goes_down_False_mab_virus_PGDM1400|1176,4.77423769558693e-05,
L_goes_down_False_mab_virus_PGDM1400|1798,1.86379906389882e-05,
L_goes_down_False_mab_virus_PGDM1400|2944,1.83714205127577e-05,
L_goes_down_False_mab_virus_PGDM1400|2946,0.000106456533209916,
L_goes_down_False_mab_virus_PGDM1400|3430,1.99511356464237e-05,
L_goes_down_False_mab_virus_PGDM1400|4166,5.2364624229546e-06,
L_goes_down_False_mab_virus_PGDM1400|4168,3.77385334259323e-08,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,5.5880904068923e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,3.75261508436818e-08,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,9.08643084427998e-08,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,6.97538068540537e-08,
L_goes_down_False_mab_virus_PGT121|1176,4.10040983248705e-07,
L_goes_down_False_mab_virus_PGT121|1798,5.24699801420939e-07,
L_goes_down_False_mab_virus_PGT121|2944,2.8277181635142e-05,
L_goes_down_False_mab_virus_PGT121|2946,3.96791451710223e-06,
L_goes_down_False_mab_virus_PGT121|3430,2.16825301493738e-07,
L_goes_down_False_mab_virus_PGT121|4166,4.58154204605192e-07,
L_goes_down_False_mab_virus_PGT121|4168,2.94190909333412e-05,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,2.46156384666824e-07,
L_goes_down_False_mab_virus_PGT121|PVO.4,2.97183788459035e-05,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.51461479596028e-05,
L_goes_down_False_mab_virus_PGT121|TRO.11,2.41158074506017e-06,
L_goes_down_False_mab_virus_VRC07-523LS|1176,9.25617901267538e-08,
L_goes_down_False_mab_virus_VRC07-523LS|1798,1.17427992843199e-07,
L_goes_down_False_mab_virus_VRC07-523LS|2944,1.56428134969351e-08,
L_goes_down_False_mab_virus_VRC07-523LS|2946,1.14973591184554e-05,
L_goes_down_False_mab_virus_VRC07-523LS|3430,4.77821067583129e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4166,1.93632599254149e-07,
L_goes_down_False_mab_virus_VRC07-523LS|4168,1.73419318068389e-07,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,1.01460094398203e-05,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,3.38334158087316e-08,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,5.81763347606802e-07,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.67458370176134e-06,
L_goes_down_False_mab_virus_nan|1176,1.65627540983852e-08,
L_goes_down_False_mab_virus_nan|1798,5.28101746756513e-08,
L_goes_down_False_mab_virus_nan|2944,9.27972518649773e-08,
L_goes_down_False_mab_virus_nan|2946,6.98447302182936e-08,
L_goes_down_False_mab_virus_nan|3430,2.04732077837024e-07,
L_goes_down_False_mab_virus_nan|4166,6.58726840696462e-08,
L_goes_down_False_mab_virus_nan|4168,6.49667191277362e-08,
L_goes_down_False_mab_virus_nan|Ce1176_A3,7.96244172166625e-08,
L_goes_down_False_mab_virus_nan|PVO.4,3.04334503615555e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,8.02123278295593e-08,
L_goes_down_False_mab_virus_nan|TRO.11,3.55200367480576e-08,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,3.60988940081732e-09,
L_goes_down_True_mab_virus_PGDM1400|1176,9.96546105289846e-07,
