parameter,value,CV
U_goes_down_False,1,
U_goes_down_True,0.982218088845084,
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.66040226362472e-07,
L_goes_down_False_mab_virus_PGDM1400|1176,1.67141215804754e-07,
L_goes_down_False_mab_virus_PGDM1400|1798,1.38412089929558e-07,
L_goes_down_False_mab_virus_PGDM1400|2944,0.000748696286424216,
L_goes_down_False_mab_virus_PGDM1400|2946,1.09294792048183e-08,
L_goes_down_False_mab_virus_PGDM1400|3430,1.83267833607624e-05,
L_goes_down_False_mab_virus_PGDM1400|4166,8.91020875834603e-07,
L_goes_down_False_mab_virus_PGDM1400|4168,4.59996374702662e-07,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,5.40812355210713e-06,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,9.72463143085917e-07,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.97362505793811e-07,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,1.35451807811398e-06,
L_goes_down_False_mab_virus_PGT121|1176,1.06022205630047e-06,
L_goes_down_False_mab_virus_PGT121|1798,2.13894470305502e-07,
L_goes_down_False_mab_virus_PGT121|2944,6.87969262921251e-07,
L_goes_down_False_mab_virus_PGT121|2946,3.84164345933318e-07,
L_goes_down_False_mab_virus_PGT121|3430,2.67523450580469e-07,
L_goes_down_False_mab_virus_PGT121|4166,1.71787367954396e-06,
L_goes_down_False_mab_virus_PGT121|4168,1.75215926430533e-08,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.05013527006891e-08,
L_goes_down_False_mab_virus_PGT121|PVO.4,1.66110534457558e-05,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.0925779970179e-06,
L_goes_down_False_mab_virus_PGT121|TRO.11,4.68491623878563e-07,
L_goes_down_False_mab_virus_VRC07-523LS|1176,1.38696761810536e-06,
L_goes_down_False_mab_virus_VRC07-523LS|1798,8.53750729615395e-09,
L_goes_down_False_mab_virus_VRC07-523LS|2944,5.56659932440356e-08,
