id,importanceSampling
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,-10.452752
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,-10.555192
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,-10.447537
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,-10.272354
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,-10.093960
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,-10.123227
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,-10.127274
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,-10.619639
130_bNAb_Combinations|1313842|sample|10|nan|2946,-12.055570
130_bNAb_Combinations|1313842|sample|11|nan|2946,-2.981060
130_bNAb_Combinations|1313842|sample|12|nan|2946,-10.112345
130_bNAb_Combinations|1313842|sample|3|nan|2946,1.098569
130_bNAb_Combinations|1313842|sample|4|nan|2946,-0.219276
130_bNAb_Combinations|1313842|sample|5|nan|2946,-6.951659
130_bNAb_Combinations|1313842|sample|6|nan|2946,-4.667681
130_bNAb_Combinations|1313842|sample|7|nan|2946,-3.343565
130_bNAb_Combinations|1313842|sample|8|nan|2946,-4.949028
130_bNAb_Combinations|1313842|sample|9|nan|2946,-10.705099
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,-0.745796
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,-0.461755
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,-0.455966
130_bNAb_Combinations|1313842|vc|4|2|nan|2946,-0.524570
130_bNAb_Combinations|1313842|vc|5|2|nan|2946,-0.469766
130_bNAb_Combinations|1313842|vc|6|2|nan|2946,-0.323003
130_bNAb_Combinations|1313842|vc|7|2|nan|2946,-0.630568
130_bNAb_Combinations|1313842|vc|8|2|nan|2946,-0.612129
130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024,-10.662385
130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024,-10.572392
130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024,-10.406134
130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024,-9.990706
130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024,-10.221943
130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024,-9.975123
130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024,-9.820318
130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024,-10.121224
130_bNAb_Combinations|1313860|sample|10|PVO.4|5024,-24.505578
130_bNAb_Combinations|1313860|sample|11|PVO.4|5024,-28.524034
130_bNAb_Combinations|1313860|sample|12|PVO.4|5024,-29.867139
130_bNAb_Combinations|1313860|sample|3|PVO.4|5024,1.472252
130_bNAb_Combinations|1313860|sample|4|PVO.4|5024,1.049531
130_bNAb_Combinations|1313860|sample|5|PVO.4|5024,1.548232
130_bNAb_Combinations|1313860|sample|6|PVO.4|5024,3.579646
130_bNAb_Combinations|1313860|sample|7|PVO.4|5024,-14.914663
130_bNAb_Combinations|1313860|sample|8|PVO.4|5024,-15.231748
130_bNAb_Combinations|1313860|sample|9|PVO.4|5024,-24.867997
130_bNAb_Combinations|1313860|vc|1|2|PVO.4|5024,-0.442380
130_bNAb_Combinations|1313860|vc|2|2|PVO.4|5024,-0.620351
130_bNAb_Combinations|1313860|vc|3|2|PVO.4|5024,-0.705428
130_bNAb_Combinations|1313860|vc|4|2|PVO.4|5024,-0.726534
130_bNAb_Combinations|1313860|vc|5|2|PVO.4|5024,-0.702043
130_bNAb_Combinations|1313860|vc|6|2|PVO.4|5024,-0.750649
130_bNAb_Combinations|1313860|vc|7|2|PVO.4|5024,-0.745954
130_bNAb_Combinations|1313860|vc|8|2|PVO.4|5024,-0.718658
130_bNAb_Combinations|1313884|cc|1|1|nan|4168,-10.789742
130_bNAb_Combinations|1313884|cc|2|1|nan|4168,-10.590003
130_bNAb_Combinations|1313884|cc|3|1|nan|4168,-10.824282
130_bNAb_Combinations|1313884|cc|4|1|nan|4168,-10.830969
130_bNAb_Combinations|1313884|cc|5|1|nan|4168,-10.832559
130_bNAb_Combinations|1313884|cc|6|1|nan|4168,-10.790297
130_bNAb_Combinations|1313884|cc|7|1|nan|4168,-10.735564
130_bNAb_Combinations|1313884|cc|8|1|nan|4168,-10.809297
