parameter,value,CV
L_goes_down_False,1,
L_goes_down_True,1,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.23141564932319,
m_goes_down_False_mab_virus_PGDM1400|1176,-5.8155843118635,
m_goes_down_False_mab_virus_PGDM1400|1798,-0.527400620750178,
m_goes_down_False_mab_virus_PGDM1400|2944,-0.84525761916213,
m_goes_down_False_mab_virus_PGDM1400|2946,3.09827077712391,
m_goes_down_False_mab_virus_PGDM1400|3430,-0.479851120944912,
m_goes_down_False_mab_virus_PGDM1400|4166,-0.430211213104437,
m_goes_down_False_mab_virus_PGDM1400|4168,0.372428079362416,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.66408202496769,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,1.81185749560091,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,-0.105787578088515,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,1.28253105333503,
m_goes_down_False_mab_virus_PGT121|1176,4.13194957374858,
m_goes_down_False_mab_virus_PGT121|1798,-0.348425182208207,
m_goes_down_False_mab_virus_PGT121|2944,-0.151897967689962,
m_goes_down_False_mab_virus_PGT121|2946,0.111432187006191,
m_goes_down_False_mab_virus_PGT121|3430,2.53276097055411,
m_goes_down_False_mab_virus_PGT121|4166,0.262902042563342,
m_goes_down_False_mab_virus_PGT121|4168,0.72773466964207,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,-0.286897628609787,
m_goes_down_False_mab_virus_PGT121|PVO.4,1.14870986601018,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,-3.55146696287504,
m_goes_down_False_mab_virus_PGT121|TRO.11,0.232453902454436,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.526685623843931,
m_goes_down_False_mab_virus_VRC07-523LS|1798,1.91276917080797,
m_goes_down_False_mab_virus_VRC07-523LS|2944,1.45794521767028,
m_goes_down_False_mab_virus_VRC07-523LS|2946,1.48210304220646,
m_goes_down_False_mab_virus_VRC07-523LS|3430,-0.260033281821997,
m_goes_down_False_mab_virus_VRC07-523LS|4166,-0.259062354624835,
m_goes_down_False_mab_virus_VRC07-523LS|4168,-4.49258678931265,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,-0.184467424770096,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.859829306439671,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,2.3825018259764,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.77360480605669,
m_goes_down_False_mab_virus_nan|1176,1.95231847350295,
m_goes_down_False_mab_virus_nan|1798,1.54919609686052,
m_goes_down_False_mab_virus_nan|2944,0.647917529106154,
m_goes_down_False_mab_virus_nan|2946,1.80567588213613,
m_goes_down_False_mab_virus_nan|3430,1.17757238020459,
m_goes_down_False_mab_virus_nan|4166,1.23350705732514,
m_goes_down_False_mab_virus_nan|4168,0.400974185945173,
m_goes_down_False_mab_virus_nan|Ce1176_A3,1.03025532694476,
m_goes_down_False_mab_virus_nan|PVO.4,0.776331320829741,
m_goes_down_False_mab_virus_nan|RHPA4259.7,1.19511739728397,
m_goes_down_False_mab_virus_nan|TRO.11,1.47125197023444,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,2.76828582082292,
m_goes_down_True_mab_virus_PGDM1400|1176,-4.27871414036376,
m_goes_down_True_mab_virus_PGDM1400|1798,1.00946955074956,
m_goes_down_True_mab_virus_PGDM1400|2944,0.691612552337607,
m_goes_down_True_mab_virus_PGDM1400|2946,4.63514094862365,
m_goes_down_True_mab_virus_PGDM1400|3430,1.05701905055483,
m_goes_down_True_mab_virus_PGDM1400|4166,1.1066589583953,
m_goes_down_True_mab_virus_PGDM1400|4168,1.90929825086215,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,3.20095219646742,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,3.34872766710065,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.43108259341122,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,2.81940122483477,
m_goes_down_True_mab_virus_PGT121|1176,5.66881974524832,
m_goes_down_True_mab_virus_PGT121|1798,1.18844498929153,
m_goes_down_True_mab_virus_PGT121|2944,1.38497220380977,
m_goes_down_True_mab_virus_PGT121|2946,1.64830235850593,
