id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,0,1.17067,-5.03815e-09,0,-0.117193,0,0,0,-5.00891e-08,3.33067e-15,0,1.32839e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,0,0.347304,4.05802e-09,0,-0.291776,0,0,0,-1.01933e-08,1.11022e-15,0,-8.35137e-08,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,0,1.46973,-3.42845e-10,0,-0.168971,0,0,0,-1.55878e-07,-2.88658e-15,0,3.45912e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,0,-0.60949,-2.15018e-09,0,-0.013729,0,0,0,3.61092e-07,-3.55271e-15,0,2.53402e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,0,-0.431641,4.53562e-09,0,-0.1173,0,0,0,-3.68999e-07,-1.33227e-15,0,1.56962e-08,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,0,-0.465344,-5.69215e-09,0,0.179421,0,0,0,6.48252e-07,2.22045e-16,0,1.55684e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,0,-1.12322,1.59104e-09,0,0.765891,0,0,0,5.33288e-07,-2.22045e-16,0,4.41893e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,0,-1.35112,-6.56007e-09,0,0.190939,0,0,0,-7.79235e-08,5.55112e-15,0,1.18527e-07,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,0,-12.1598,-5.34473e-09,0,0.927254,0,0,0,-7.35086,-3.55271e-15,0,0.923719,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,0,-12.0325,9.38882e-09,0,0.752115,0,0,0,-8.42085,1.06581e-14,0,0.754745,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,0,-10.6378,6.72319e-09,0,0.897561,0,0,0,-6.95697,8.88178e-16,0,0.855364,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,0,-1.6301,-6.52331e-09,0,3.73063,0,0,0,-1.6967,0,0,2.87479,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,0,-1.84623,-3.55952e-09,0,3.69872,0,0,0,-1.77101,1.68754e-14,0,3.15427,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,0,-2.72491,-4.64092e-10,0,0.478358,0,0,0,-2.3365,9.76996e-14,0,0.668166,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,0,-9.11009,-9.58272e-10,0,0.277976,0,0,0,-3.58829,-3.73035e-14,0,0.209563,0,0,True,PGDM1400|2946,1313842
