parameter,value,CV
U_pop,1,
L_pop,1,
beta_L_goes_down_True,0,
m_pop,1.45115505940778,
beta_m_goes_down_True,3.56847293669324,
beta_m_mab_virus_PGDM1400_1176,-4.27583063848458,
beta_m_mab_virus_PGDM1400_1798,-2.79600334587148,
beta_m_mab_virus_PGDM1400_2944,-4.58257319127183,
beta_m_mab_virus_PGDM1400_2946,-0.19384069475091,
beta_m_mab_virus_PGDM1400_3430,-4.48210097606806,
beta_m_mab_virus_PGDM1400_4166,-4.46338908128527,
beta_m_mab_virus_PGDM1400_4168,-0.478305463365208,
beta_m_mab_virus_PGDM1400_Ce1176_A3,-1.95623893352975,
beta_m_mab_virus_PGDM1400_PVO_4,-0.254827967203319,
beta_m_mab_virus_PGDM1400_RHPA4259_7,-1.61666252791028,
beta_m_mab_virus_PGDM1400_TRO_11,-1.13970188248854,
beta_m_mab_virus_PGT121_1176,-3.07314888513345,
beta_m_mab_virus_PGT121_1798,-3.84556257608233,
beta_m_mab_virus_PGT121_2944,-4.39365670429046,
beta_m_mab_virus_PGT121_2946,-3.0072856942551,
beta_m_mab_virus_PGT121_3430,-3.62734576028283,
beta_m_mab_virus_PGT121_4166,-4.36866119828692,
beta_m_mab_virus_PGT121_4168,-4.06220821280001,
beta_m_mab_virus_PGT121_Ce1176_A3,-4.27080855184296,
beta_m_mab_virus_PGT121_PVO_4,-3.28783584474849,
beta_m_mab_virus_PGT121_RHPA4259_7,-4.22662571497079,
beta_m_mab_virus_PGT121_TRO_11,-4.34627209708965,
beta_m_mab_virus_VRC07_523LS_1176,-3.82629286717061,
beta_m_mab_virus_VRC07_523LS_1798,-2.68076014678194,
beta_m_mab_virus_VRC07_523LS_2944,-3.68955148000599,
beta_m_mab_virus_VRC07_523LS_2946,-2.77046672436321,
beta_m_mab_virus_VRC07_523LS_3430,-4.00626290933182,
beta_m_mab_virus_VRC07_523LS_4166,-4.23732337438312,
beta_m_mab_virus_VRC07_523LS_4168,-3.31268391091314,
beta_m_mab_virus_VRC07_523LS_Ce1176_A3,-2.60234459095299,
beta_m_mab_virus_VRC07_523LS_PVO_4,-3.35403619732973,
beta_m_mab_virus_VRC07_523LS_RHPA4259_7,-4.24063137626487,
beta_m_mab_virus_VRC07_523LS_TRO_11,-3.50211279480539,
beta_m_mab_virus_nan_1176,0.371828929967861,
beta_m_mab_virus_nan_1798,0.675835817071063,
beta_m_mab_virus_nan_2944,-0.678698905432615,
beta_m_mab_virus_nan_2946,-0.362166642376573,
beta_m_mab_virus_nan_3430,0.873828266660828,
beta_m_mab_virus_nan_4166,-0.357713130335976,
beta_m_mab_virus_nan_4168,-0.779229708870196,
beta_m_mab_virus_nan_Ce1176_A3,-0.547042771787593,
beta_m_mab_virus_nan_PVO_4,-0.731247540009281,
beta_m_mab_virus_nan_RHPA4259_7,-0.474575022776684,
beta_m_mab_virus_nan_TRO_11,-0.108137169394272,
e_pop,1.81639852475406,
beta_e_goes_down_True,0.000355745247242765,
beta_e_mab_virus_PGDM1400_1176,-7.13497417015492e-06,
beta_e_mab_virus_PGDM1400_1798,4.58566887527677e-05,
beta_e_mab_virus_PGDM1400_2944,-1.06000754209111e-06,
beta_e_mab_virus_PGDM1400_2946,-0.843697947468471,
beta_e_mab_virus_PGDM1400_3430,2.14194057907017e-06,
beta_e_mab_virus_PGDM1400_4166,3.89785438867859e-06,
beta_e_mab_virus_PGDM1400_4168,6.809555304584e-05,
beta_e_mab_virus_PGDM1400_Ce1176_A3,0.000113969661558971,
beta_e_mab_virus_PGDM1400_PVO_4,-0.871676634628433,
beta_e_mab_virus_PGDM1400_RHPA4259_7,-4.81101014945959e-07,
beta_e_mab_virus_PGDM1400_TRO_11,-3.29455027686732e-05,
