id,importanceSampling
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,-10.435610
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,-10.431508
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,-10.455874
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,-10.231272
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,-10.033998
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,-41.906252
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,-10.084611
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,-10.618273
130_bNAb_Combinations|1313842|sample|10|nan|2946,-24.673011
130_bNAb_Combinations|1313842|sample|11|nan|2946,-28.216567
130_bNAb_Combinations|1313842|sample|12|nan|2946,-28.226372
130_bNAb_Combinations|1313842|sample|3|nan|2946,-14.261644
130_bNAb_Combinations|1313842|sample|4|nan|2946,-14.335133
130_bNAb_Combinations|1313842|sample|5|nan|2946,8.296352
130_bNAb_Combinations|1313842|sample|6|nan|2946,-5.246004
130_bNAb_Combinations|1313842|sample|7|nan|2946,-20.187739
130_bNAb_Combinations|1313842|sample|8|nan|2946,-20.008335
130_bNAb_Combinations|1313842|sample|9|nan|2946,-28.530385
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,-2.879359
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,-2.634698
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,-2.618949
130_bNAb_Combinations|1313842|vc|4|2|nan|2946,-2.706428
130_bNAb_Combinations|1313842|vc|5|2|nan|2946,-2.695405
130_bNAb_Combinations|1313842|vc|6|2|nan|2946,-34.247709
130_bNAb_Combinations|1313842|vc|7|2|nan|2946,-34.395111
130_bNAb_Combinations|1313842|vc|8|2|nan|2946,-0.869364
130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024,-10.689433
130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024,-10.524435
130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024,-42.186841
130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024,-9.982577
130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024,-10.206979
130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024,-9.978289
130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024,-9.789784
130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024,-10.105619
130_bNAb_Combinations|1313860|sample|10|PVO.4|5024,-65.604027
130_bNAb_Combinations|1313860|sample|11|PVO.4|5024,-35.481171
130_bNAb_Combinations|1313860|sample|12|PVO.4|5024,-22.905862
130_bNAb_Combinations|1313860|sample|3|PVO.4|5024,-10.914736
130_bNAb_Combinations|1313860|sample|4|PVO.4|5024,-8.687612
130_bNAb_Combinations|1313860|sample|5|PVO.4|5024,-20.357336
130_bNAb_Combinations|1313860|sample|6|PVO.4|5024,-23.945788
130_bNAb_Combinations|1313860|sample|7|PVO.4|5024,-24.878482
130_bNAb_Combinations|1313860|sample|8|PVO.4|5024,-56.224929
130_bNAb_Combinations|1313860|sample|9|PVO.4|5024,-31.792375
130_bNAb_Combinations|1313860|vc|1|2|PVO.4|5024,-0.794794
130_bNAb_Combinations|1313860|vc|2|2|PVO.4|5024,-2.650189
130_bNAb_Combinations|1313860|vc|3|2|PVO.4|5024,-2.325956
130_bNAb_Combinations|1313860|vc|4|2|PVO.4|5024,-2.122047
130_bNAb_Combinations|1313860|vc|5|2|PVO.4|5024,-2.449337
130_bNAb_Combinations|1313860|vc|6|2|PVO.4|5024,-1.480841
130_bNAb_Combinations|1313860|vc|7|2|PVO.4|5024,-32.011964
130_bNAb_Combinations|1313860|vc|8|2|PVO.4|5024,-2.182138
130_bNAb_Combinations|1313884|cc|1|1|nan|4168,-10.730670
130_bNAb_Combinations|1313884|cc|2|1|nan|4168,-10.491218
130_bNAb_Combinations|1313884|cc|3|1|nan|4168,-42.569463
130_bNAb_Combinations|1313884|cc|4|1|nan|4168,-10.756737
130_bNAb_Combinations|1313884|cc|5|1|nan|4168,-10.792993
130_bNAb_Combinations|1313884|cc|6|1|nan|4168,-10.773935
130_bNAb_Combinations|1313884|cc|7|1|nan|4168,-10.627454
130_bNAb_Combinations|1313884|cc|8|1|nan|4168,-10.775166
130_bNAb_Combinations|1313884|sample|10|nan|4168,-15.222202
130_bNAb_Combinations|1313884|sample|11|nan|4168,-14.111029
130_bNAb_Combinations|1313884|sample|12|nan|4168,-27.065085
130_bNAb_Combinations|1313884|sample|3|nan|4168,-12.359847
130_bNAb_Combinations|1313884|sample|4|nan|4168,-12.769767
130_bNAb_Combinations|1313884|sample|5|nan|4168,-12.901572
130_bNAb_Combinations|1313884|sample|6|nan|4168,-13.299262
130_bNAb_Combinations|1313884|sample|7|nan|4168,-15.229257
130_bNAb_Combinations|1313884|sample|8|nan|4168,-13.121706
130_bNAb_Combinations|1313884|sample|9|nan|4168,-15.913835
130_bNAb_Combinations|1313884|vc|1|2|nan|4168,-2.195390
130_bNAb_Combinations|1313884|vc|2|2|nan|4168,-2.630499
130_bNAb_Combinations|1313884|vc|3|2|nan|4168,-2.631720
130_bNAb_Combinations|1313884|vc|4|2|nan|4168,-2.443081
130_bNAb_Combinations|1313884|vc|5|2|nan|4168,-2.366032
130_bNAb_Combinations|1313884|vc|6|2|nan|4168,-2.313873
130_bNAb_Combinations|1313884|vc|7|2|nan|4168,-2.128635
130_bNAb_Combinations|1313884|vc|8|2|nan|4168,-2.893975
130_bNAb_Combinations|1313920|cc|1|1|nan|1798,-10.505679
130_bNAb_Combinations|1313920|cc|2|1|nan|1798,-10.184439
130_bNAb_Combinations|1313920|cc|3|1|nan|1798,-9.847593
130_bNAb_Combinations|1313920|cc|4|1|nan|1798,-10.343559
130_bNAb_Combinations|1313920|cc|5|1|nan|1798,-10.122583
130_bNAb_Combinations|1313920|cc|6|1|nan|1798,-10.205112
130_bNAb_Combinations|1313920|cc|7|1|nan|1798,-10.344027
130_bNAb_Combinations|1313920|cc|8|1|nan|1798,-9.368361
130_bNAb_Combinations|1313920|sample|10|nan|1798,-41.380737
130_bNAb_Combinations|1313920|sample|11|nan|1798,-25.988769
130_bNAb_Combinations|1313920|sample|12|nan|1798,-31.716541
130_bNAb_Combinations|1313920|sample|3|nan|1798,-11.365461
130_bNAb_Combinations|1313920|sample|4|nan|1798,-12.976194
130_bNAb_Combinations|1313920|sample|5|nan|1798,-2.761046
130_bNAb_Combinations|1313920|sample|6|nan|1798,-2.473996
130_bNAb_Combinations|1313920|sample|7|nan|1798,-31.433161
130_bNAb_Combinations|1313920|sample|8|nan|1798,-63.956954
130_bNAb_Combinations|1313920|sample|9|nan|1798,-39.954846
130_bNAb_Combinations|1313920|vc|1|2|nan|1798,-2.914314
130_bNAb_Combinations|1313920|vc|2|2|nan|1798,-2.693746
130_bNAb_Combinations|1313920|vc|3|2|nan|1798,-2.494066
130_bNAb_Combinations|1313920|vc|4|2|nan|1798,-2.631444
130_bNAb_Combinations|1313920|vc|5|2|nan|1798,-2.128932
130_bNAb_Combinations|1313920|vc|6|2|nan|1798,-2.682448
130_bNAb_Combinations|1313920|vc|7|2|nan|1798,-2.101115
130_bNAb_Combinations|1313920|vc|8|2|nan|1798,-2.382050
130_bNAb_Combinations|1313938|cc|1|1|TRO.11|8301,-10.745616
130_bNAb_Combinations|1313938|cc|2|1|TRO.11|8301,-10.706401
130_bNAb_Combinations|1313938|cc|3|1|TRO.11|8301,-10.723821
130_bNAb_Combinations|1313938|cc|4|1|TRO.11|8301,-10.713118
130_bNAb_Combinations|1313938|cc|5|1|TRO.11|8301,-10.701949
130_bNAb_Combinations|1313938|cc|6|1|TRO.11|8301,-10.347882
130_bNAb_Combinations|1313938|cc|7|1|TRO.11|8301,-42.152142
130_bNAb_Combinations|1313938|cc|8|1|TRO.11|8301,-10.790683
130_bNAb_Combinations|1313938|sample|10|TRO.11|8301,-45.792216
130_bNAb_Combinations|1313938|sample|11|TRO.11|8301,-36.400997
130_bNAb_Combinations|1313938|sample|12|TRO.11|8301,-69.340001
130_bNAb_Combinations|1313938|sample|3|TRO.11|8301,-16.626318
130_bNAb_Combinations|1313938|sample|4|TRO.11|8301,-15.254096
130_bNAb_Combinations|1313938|sample|5|TRO.11|8301,-20.157255
130_bNAb_Combinations|1313938|sample|6|TRO.11|8301,-19.613812
130_bNAb_Combinations|1313938|sample|7|TRO.11|8301,-37.976731
130_bNAb_Combinations|1313938|sample|8|TRO.11|8301,-37.666680
130_bNAb_Combinations|1313938|sample|9|TRO.11|8301,-45.545990
130_bNAb_Combinations|1313938|vc|1|2|TRO.11|8301,-2.726257
130_bNAb_Combinations|1313938|vc|2|2|TRO.11|8301,-1.971817
130_bNAb_Combinations|1313938|vc|3|2|TRO.11|8301,-2.552096
130_bNAb_Combinations|1313938|vc|4|2|TRO.11|8301,-2.251172
130_bNAb_Combinations|1313938|vc|5|2|TRO.11|8301,-1.978886
130_bNAb_Combinations|1313938|vc|6|2|TRO.11|8301,-2.263327
130_bNAb_Combinations|1313938|vc|7|2|TRO.11|8301,-1.700670
130_bNAb_Combinations|1313938|vc|8|2|TRO.11|8301,-0.630376
130_bNAb_Combinations|1313956|cc|1|1|Ce1176_A3|7023,-10.687966
130_bNAb_Combinations|1313956|cc|2|1|Ce1176_A3|7023,-10.727113
130_bNAb_Combinations|1313956|cc|3|1|Ce1176_A3|7023,-10.621338
130_bNAb_Combinations|1313956|cc|4|1|Ce1176_A3|7023,-10.472842
130_bNAb_Combinations|1313956|cc|5|1|Ce1176_A3|7023,-10.107340
130_bNAb_Combinations|1313956|cc|6|1|Ce1176_A3|7023,-10.099353
130_bNAb_Combinations|1313956|cc|7|1|Ce1176_A3|7023,-10.322644
130_bNAb_Combinations|1313956|cc|8|1|Ce1176_A3|7023,-10.091662
130_bNAb_Combinations|1313956|sample|10|Ce1176_A3|7023,-46.282039
130_bNAb_Combinations|1313956|sample|11|Ce1176_A3|7023,-32.674538
130_bNAb_Combinations|1313956|sample|12|Ce1176_A3|7023,-67.358708
130_bNAb_Combinations|1313956|sample|3|Ce1176_A3|7023,-12.865136
130_bNAb_Combinations|1313956|sample|4|Ce1176_A3|7023,-14.762409
130_bNAb_Combinations|1313956|sample|5|Ce1176_A3|7023,9.864811
130_bNAb_Combinations|1313956|sample|6|Ce1176_A3|7023,-3.182031
130_bNAb_Combinations|1313956|sample|7|Ce1176_A3|7023,-35.226696
130_bNAb_Combinations|1313956|sample|8|Ce1176_A3|7023,-32.875315
130_bNAb_Combinations|1313956|sample|9|Ce1176_A3|7023,-39.420507
130_bNAb_Combinations|1313956|vc|1|2|Ce1176_A3|7023,-2.521965
130_bNAb_Combinations|1313956|vc|2|2|Ce1176_A3|7023,-2.351484
130_bNAb_Combinations|1313956|vc|3|2|Ce1176_A3|7023,-0.921153
130_bNAb_Combinations|1313956|vc|4|2|Ce1176_A3|7023,-1.717703
130_bNAb_Combinations|1313956|vc|5|2|Ce1176_A3|7023,-2.499351
130_bNAb_Combinations|1313956|vc|6|2|Ce1176_A3|7023,-1.449214
130_bNAb_Combinations|1313956|vc|7|2|Ce1176_A3|7023,-2.808443
130_bNAb_Combinations|1313956|vc|8|2|Ce1176_A3|7023,-3.094710
130_bNAb_Combinations|1313974|cc|1|1|nan|1176,-10.777315
130_bNAb_Combinations|1313974|cc|2|1|nan|1176,-9.788647
130_bNAb_Combinations|1313974|cc|3|1|nan|1176,-7.274652
130_bNAb_Combinations|1313974|cc|4|1|nan|1176,-8.915895
130_bNAb_Combinations|1313974|cc|5|1|nan|1176,-5.258127
130_bNAb_Combinations|1313974|cc|6|1|nan|1176,-9.531065
130_bNAb_Combinations|1313974|cc|7|1|nan|1176,4.183677
130_bNAb_Combinations|1313974|cc|8|1|nan|1176,-8.445135
130_bNAb_Combinations|1313974|sample|10|nan|1176,6.900031
130_bNAb_Combinations|1313974|sample|11|nan|1176,-31.624340
130_bNAb_Combinations|1313974|sample|12|nan|1176,-32.454116
130_bNAb_Combinations|1313974|sample|3|nan|1176,-6.228058
130_bNAb_Combinations|1313974|sample|4|nan|1176,-15.742203
130_bNAb_Combinations|1313974|sample|5|nan|1176,-11.572544
130_bNAb_Combinations|1313974|sample|6|nan|1176,26.029351
130_bNAb_Combinations|1313974|sample|7|nan|1176,-37.538387
130_bNAb_Combinations|1313974|sample|8|nan|1176,-6.395441
130_bNAb_Combinations|1313974|sample|9|nan|1176,-0.343185
130_bNAb_Combinations|1313974|vc|1|2|nan|1176,2.120472
130_bNAb_Combinations|1313974|vc|2|2|nan|1176,3.274442
130_bNAb_Combinations|1313974|vc|3|2|nan|1176,1.233285
130_bNAb_Combinations|1313974|vc|4|2|nan|1176,-1.539038
130_bNAb_Combinations|1313974|vc|5|2|nan|1176,-0.873566
130_bNAb_Combinations|1313974|vc|6|2|nan|1176,1.311993
130_bNAb_Combinations|1313974|vc|7|2|nan|1176,-30.030574
130_bNAb_Combinations|1313974|vc|8|2|nan|1176,8.165889
130_bNAb_Combinations|1313992|cc|1|1|RHPA4259.7|5371,-10.635488
130_bNAb_Combinations|1313992|cc|2|1|RHPA4259.7|5371,-9.945597
130_bNAb_Combinations|1313992|cc|3|1|RHPA4259.7|5371,-10.402016
130_bNAb_Combinations|1313992|cc|4|1|RHPA4259.7|5371,-10.144799
130_bNAb_Combinations|1313992|cc|5|1|RHPA4259.7|5371,-10.077627
130_bNAb_Combinations|1313992|cc|6|1|RHPA4259.7|5371,-10.182451
130_bNAb_Combinations|1313992|cc|7|1|RHPA4259.7|5371,-9.982440
130_bNAb_Combinations|1313992|cc|8|1|RHPA4259.7|5371,-10.155969
130_bNAb_Combinations|1313992|sample|10|RHPA4259.7|5371,-42.196815
130_bNAb_Combinations|1313992|sample|11|RHPA4259.7|5371,-36.527256
130_bNAb_Combinations|1313992|sample|12|RHPA4259.7|5371,-39.821016
130_bNAb_Combinations|1313992|sample|3|RHPA4259.7|5371,-20.197166
