parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.0190170293778767,
L_goes_down_False_mab_virus_PGDM1400|1176,0.029782386625201,
L_goes_down_False_mab_virus_PGDM1400|1798,0.118615825908773,
L_goes_down_False_mab_virus_PGDM1400|2944,0.00437360743319231,
L_goes_down_False_mab_virus_PGDM1400|2946,0.0828785127263257,
L_goes_down_False_mab_virus_PGDM1400|3430,0.000732074527410623,
L_goes_down_False_mab_virus_PGDM1400|4166,0.00842987604763719,
L_goes_down_False_mab_virus_PGDM1400|4168,0.171872834824308,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.00279031538479347,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,0.0284815660943635,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.0108391229420402,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,8.35627386877771e-05,
L_goes_down_False_mab_virus_PGT121|1176,0.0974923766437825,
L_goes_down_False_mab_virus_PGT121|1798,0.00121811740489481,
L_goes_down_False_mab_virus_PGT121|2944,0.000978038274040232,
L_goes_down_False_mab_virus_PGT121|2946,0.0259898014451733,
L_goes_down_False_mab_virus_PGT121|3430,0.0168396964330655,
L_goes_down_False_mab_virus_PGT121|4166,0.00630456287005215,
L_goes_down_False_mab_virus_PGT121|4168,0.0783713393785386,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.00326265231239163,
L_goes_down_False_mab_virus_PGT121|PVO.4,0.00568751900658811,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.000223875929478262,
L_goes_down_False_mab_virus_PGT121|TRO.11,0.00618759166408433,
L_goes_down_False_mab_virus_VRC07-523LS|1176,0.000663359220097925,
L_goes_down_False_mab_virus_VRC07-523LS|1798,0.0030284673807789,
L_goes_down_False_mab_virus_VRC07-523LS|2944,0.00159729960857293,
L_goes_down_False_mab_virus_VRC07-523LS|2946,0.0159723528354613,
L_goes_down_False_mab_virus_VRC07-523LS|3430,0.00656223222554217,
L_goes_down_False_mab_virus_VRC07-523LS|4166,0.0057517002208365,
L_goes_down_False_mab_virus_VRC07-523LS|4168,0.00267279201500237,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.00728315943288233,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.00397386162301168,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.00633109944518147,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.00516481660599121,
