parameter,value,CV
L_goes_down_False,0.00390458496731441,
L_goes_down_True,0.00390460858370092,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.628111695875553,
m_goes_down_False_mab_virus_PGDM1400|1176,0.577451409163167,
m_goes_down_False_mab_virus_PGDM1400|1798,0.628112348604012,
m_goes_down_False_mab_virus_PGDM1400|2944,0.628110781031084,
m_goes_down_False_mab_virus_PGDM1400|2946,0.628112626749063,
m_goes_down_False_mab_virus_PGDM1400|3430,0.630279623537973,
m_goes_down_False_mab_virus_PGDM1400|4166,0.628113231314868,
m_goes_down_False_mab_virus_PGDM1400|4168,0.628126234260502,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.628265916642091,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.628113214924393,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.643053273681261,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.628113188518389,
m_goes_down_False_mab_virus_PGT121|1176,0.628113876285644,
m_goes_down_False_mab_virus_PGT121|1798,0.640213864916724,
m_goes_down_False_mab_virus_PGT121|2944,0.642410133711348,
m_goes_down_False_mab_virus_PGT121|2946,0.633653593469915,
m_goes_down_False_mab_virus_PGT121|3430,0.527312178889959,
m_goes_down_False_mab_virus_PGT121|4166,0.886532237982124,
m_goes_down_False_mab_virus_PGT121|4168,0.628112632998816,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.645839443366422,
m_goes_down_False_mab_virus_PGT121|PVO.4,0.634503078710559,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.628110904218822,
m_goes_down_False_mab_virus_PGT121|TRO.11,0.643559311876348,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.644625397993831,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.628121132666199,
m_goes_down_False_mab_virus_VRC07-523LS|2944,0.628116874492376,
m_goes_down_False_mab_virus_VRC07-523LS|2946,0.638192897326254,
m_goes_down_False_mab_virus_VRC07-523LS|3430,0.628109761843418,
m_goes_down_False_mab_virus_VRC07-523LS|4166,0.628110638688731,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.628112110674334,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.65182274876403,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.671527770198176,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.628111148771939,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.656147407283682,
m_goes_down_False_mab_virus_nan|1176,0.628128527093927,
m_goes_down_False_mab_virus_nan|1798,0.628115258649602,
m_goes_down_False_mab_virus_nan|2944,0.628133953282568,
m_goes_down_False_mab_virus_nan|2946,0.628126212986852,
m_goes_down_False_mab_virus_nan|3430,0.628115388473579,
m_goes_down_False_mab_virus_nan|4166,0.62811414213721,
m_goes_down_False_mab_virus_nan|4168,0.628115867022361,
m_goes_down_False_mab_virus_nan|Ce1176_A3,0.628113284804125,
m_goes_down_False_mab_virus_nan|PVO.4,0.628118415738893,
m_goes_down_False_mab_virus_nan|RHPA4259.7,0.628119017667074,
m_goes_down_False_mab_virus_nan|TRO.11,0.628126702694946,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,0.628198852060761,
m_goes_down_True_mab_virus_PGDM1400|1176,0.577538565348375,
m_goes_down_True_mab_virus_PGDM1400|1798,0.62819950478922,
m_goes_down_True_mab_virus_PGDM1400|2944,0.628197937216292,
m_goes_down_True_mab_virus_PGDM1400|2946,0.62819978293427,
m_goes_down_True_mab_virus_PGDM1400|3430,0.630366779723181,
m_goes_down_True_mab_virus_PGDM1400|4166,0.628200387500076,
m_goes_down_True_mab_virus_PGDM1400|4168,0.62821339044571,
