parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.0121310970745869,
L_goes_down_False_mab_virus_PGDM1400|1176,0.0911811534454653,
L_goes_down_False_mab_virus_PGDM1400|1798,0.355522752081372,
L_goes_down_False_mab_virus_PGDM1400|2944,0.0170819960235448,
L_goes_down_False_mab_virus_PGDM1400|2946,0.446538136226127,
L_goes_down_False_mab_virus_PGDM1400|3430,0.0600763119415762,
L_goes_down_False_mab_virus_PGDM1400|4166,2.53443005257592,
L_goes_down_False_mab_virus_PGDM1400|4168,0.140681742447486,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.758301000532138,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,0.10075832669533,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.033640328267276,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,0.0421567013688253,
L_goes_down_False_mab_virus_PGT121|1176,0.487722856232517,
L_goes_down_False_mab_virus_PGT121|1798,0.0018669650872012,
L_goes_down_False_mab_virus_PGT121|2944,0.00725099124477137,
L_goes_down_False_mab_virus_PGT121|2946,0.034088400442809,
L_goes_down_False_mab_virus_PGT121|3430,0.0319306472084688,
L_goes_down_False_mab_virus_PGT121|4166,0.00498636967741051,
L_goes_down_False_mab_virus_PGT121|4168,0.456709801131779,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.00248306725661458,
L_goes_down_False_mab_virus_PGT121|PVO.4,0.00623226953441395,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.00424303833184341,
L_goes_down_False_mab_virus_PGT121|TRO.11,0.015301569180547,
L_goes_down_False_mab_virus_VRC07-523LS|1176,0.0198188880524605,
L_goes_down_False_mab_virus_VRC07-523LS|1798,0.007346578979613,
L_goes_down_False_mab_virus_VRC07-523LS|2944,0.00614423062479829,
L_goes_down_False_mab_virus_VRC07-523LS|2946,0.011175543007152,
L_goes_down_False_mab_virus_VRC07-523LS|3430,0.00529506107129294,
L_goes_down_False_mab_virus_VRC07-523LS|4166,0.00385566341056601,
L_goes_down_False_mab_virus_VRC07-523LS|4168,0.0192128725949958,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.000986086537349285,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.00053225148006611,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.00172619761446677,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.00478360923861045,
L_goes_down_False_mab_virus_nan|1176,0.012762498492195,
L_goes_down_False_mab_virus_nan|1798,0.00727046762712748,
L_goes_down_False_mab_virus_nan|2944,0.0289980164592856,
L_goes_down_False_mab_virus_nan|2946,0.00817505289834016,
L_goes_down_False_mab_virus_nan|3430,0.0152371640435922,
L_goes_down_False_mab_virus_nan|4166,0.00572169301775023,
L_goes_down_False_mab_virus_nan|4168,0.0116202180256108,
L_goes_down_False_mab_virus_nan|Ce1176_A3,0.0130489552689179,
L_goes_down_False_mab_virus_nan|PVO.4,0.00336916177413859,
L_goes_down_False_mab_virus_nan|RHPA4259.7,0.00684936867060793,
L_goes_down_False_mab_virus_nan|TRO.11,0.00518120096141187,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,0.00354423525708527,
L_goes_down_True_mab_virus_PGDM1400|1176,0.0266395905363015,
L_goes_down_True_mab_virus_PGDM1400|1798,0.103869935660019,
L_goes_down_True_mab_virus_PGDM1400|2944,0.0049906955814299,
L_goes_down_True_mab_virus_PGDM1400|2946,0.130461094846995,
L_goes_down_True_mab_virus_PGDM1400|3430,0.0175519643103868,
L_goes_down_True_mab_virus_PGDM1400|4166,0.740461995623915,
L_goes_down_True_mab_virus_PGDM1400|4168,0.0411017394836524,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.221546091424758,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,0.0294376684748989,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,0.00982839695138307,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,0.012316550300039,
L_goes_down_True_mab_virus_PGT121|1176,0.142493669955607,
L_goes_down_True_mab_virus_PGT121|1798,0.000545454664579963,
L_goes_down_True_mab_virus_PGT121|2944,0.00211845793175392,
L_goes_down_True_mab_virus_PGT121|2946,0.00995930623291622,
L_goes_down_True_mab_virus_PGT121|3430,0.00932889456922102,
L_goes_down_True_mab_virus_PGT121|4166,0.00145682349311685,
L_goes_down_True_mab_virus_PGT121|4168,0.133432860150678,
L_goes_down_True_mab_virus_PGT121|Ce1176_A3,0.000725455782152093,
L_goes_down_True_mab_virus_PGT121|PVO.4,0.00182082702658453,
L_goes_down_True_mab_virus_PGT121|RHPA4259.7,0.00123965095328329,
L_goes_down_True_mab_virus_PGT121|TRO.11,0.00447052402968847,
L_goes_down_True_mab_virus_VRC07-523LS|1176,0.00579030910064238,
L_goes_down_True_mab_virus_VRC07-523LS|1798,0.00214638495417305,
L_goes_down_True_mab_virus_VRC07-523LS|2944,0.00179510547761524,
L_goes_down_True_mab_virus_VRC07-523LS|2946,0.00326505948303688,
L_goes_down_True_mab_virus_VRC07-523LS|3430,0.00154701112536726,
L_goes_down_True_mab_virus_VRC07-523LS|4166,0.00112647505128031,
L_goes_down_True_mab_virus_VRC07-523LS|4168,0.00561325492842043,
L_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,0.0002880961755332,
L_goes_down_True_mab_virus_VRC07-523LS|PVO.4,0.000155503203847733,
L_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,0.000504327878037194,
L_goes_down_True_mab_virus_VRC07-523LS|TRO.11,0.00139758477039302,
L_goes_down_True_mab_virus_nan|1176,0.00372870622058521,
L_goes_down_True_mab_virus_nan|1798,0.00212414817399685,
L_goes_down_True_mab_virus_nan|2944,0.00847209380063747,
L_goes_down_True_mab_virus_nan|2946,0.00238843284598982,
L_goes_down_True_mab_virus_nan|3430,0.0044517073508894,
L_goes_down_True_mab_virus_nan|4166,0.00167165640494387,
L_goes_down_True_mab_virus_nan|4168,0.00339497624725668,
L_goes_down_True_mab_virus_nan|Ce1176_A3,0.00381239776154396,
L_goes_down_True_mab_virus_nan|PVO.4,0.000984338174305856,
L_goes_down_True_mab_virus_nan|RHPA4259.7,0.00200111941911656,
L_goes_down_True_mab_virus_nan|TRO.11,0.00151374562486595,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1.11675666173772,
m_goes_down_False_mab_virus_PGDM1400|1176,0.845066170164034,
m_goes_down_False_mab_virus_PGDM1400|1798,0.911409775643438,
m_goes_down_False_mab_virus_PGDM1400|2944,0.940433694405522,
m_goes_down_False_mab_virus_PGDM1400|2946,2.71577117415249,
m_goes_down_False_mab_virus_PGDM1400|3430,3.1814794924632,
m_goes_down_False_mab_virus_PGDM1400|4166,-1.55120977008288,
m_goes_down_False_mab_virus_PGDM1400|4168,1.32280878623031,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,1.20052161547933,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,1.57106993521537,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,1.60362275444888,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,1.09476659297751,
m_goes_down_False_mab_virus_PGT121|1176,1.22009095361107,
m_goes_down_False_mab_virus_PGT121|1798,1.09010084869966,
m_goes_down_False_mab_virus_PGT121|2944,1.22319336465471,
m_goes_down_False_mab_virus_PGT121|2946,1.18547040166805,
m_goes_down_False_mab_virus_PGT121|3430,0.917284977752038,
m_goes_down_False_mab_virus_PGT121|4166,1.19873334832061,
m_goes_down_False_mab_virus_PGT121|4168,1.16537771999901,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.24879363211445,
m_goes_down_False_mab_virus_PGT121|PVO.4,1.15343776759603,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,1.25835228254304,
m_goes_down_False_mab_virus_PGT121|TRO.11,3.23218801604269,
m_goes_down_False_mab_virus_VRC07-523LS|1176,1.06426302309535,
m_goes_down_False_mab_virus_VRC07-523LS|1798,1.29780152072623,
m_goes_down_False_mab_virus_VRC07-523LS|2944,1.05922236597176,
m_goes_down_False_mab_virus_VRC07-523LS|2946,1.25664785189519,
m_goes_down_False_mab_virus_VRC07-523LS|3430,1.14219031060862,
m_goes_down_False_mab_virus_VRC07-523LS|4166,1.13819859694935,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.959391591179627,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,1.15638842714955,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,1.22771871270287,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,1.1375750313473,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.23454492068899,
m_goes_down_False_mab_virus_nan|1176,0.99220213130253,
m_goes_down_False_mab_virus_nan|1798,1.20504799674522,
m_goes_down_False_mab_virus_nan|2944,1.35919212092084,
m_goes_down_False_mab_virus_nan|2946,0.942409571127961,
m_goes_down_False_mab_virus_nan|3430,0.987174679927875,
m_goes_down_False_mab_virus_nan|4166,1.36535400232009,
m_goes_down_False_mab_virus_nan|4168,1.13157159016733,
m_goes_down_False_mab_virus_nan|Ce1176_A3,1.15514083033543,
m_goes_down_False_mab_virus_nan|PVO.4,1.349882688404,
m_goes_down_False_mab_virus_nan|RHPA4259.7,1.12613568331737,
m_goes_down_False_mab_virus_nan|TRO.11,2.16721024942975,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,0.736515058591991,
m_goes_down_True_mab_virus_PGDM1400|1176,0.464824567018304,
m_goes_down_True_mab_virus_PGDM1400|1798,0.531168172497708,
m_goes_down_True_mab_virus_PGDM1400|2944,0.560192091259791,
m_goes_down_True_mab_virus_PGDM1400|2946,2.33552957100676,
m_goes_down_True_mab_virus_PGDM1400|3430,2.80123788931747,
m_goes_down_True_mab_virus_PGDM1400|4166,-1.93145137322861,
m_goes_down_True_mab_virus_PGDM1400|4168,0.942567183084575,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.820280012333603,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,1.19082833206964,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.22338115130315,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,0.714524989831781,
m_goes_down_True_mab_virus_PGT121|1176,0.839849350465344,
m_goes_down_True_mab_virus_PGT121|1798,0.709859245553934,
m_goes_down_True_mab_virus_PGT121|2944,0.842951761508979,
m_goes_down_True_mab_virus_PGT121|2946,0.805228798522316,
m_goes_down_True_mab_virus_PGT121|3430,0.537043374606307,
m_goes_down_True_mab_virus_PGT121|4166,0.818491745174881,
m_goes_down_True_mab_virus_PGT121|4168,0.785136116853275,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,0.868552028968716,
m_goes_down_True_mab_virus_PGT121|PVO.4,0.773196164450297,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,0.878110679397308,
m_goes_down_True_mab_virus_PGT121|TRO.11,2.85194641289696,
m_goes_down_True_mab_virus_VRC07-523LS|1176,0.684021419949616,
m_goes_down_True_mab_virus_VRC07-523LS|1798,0.917559917580503,
m_goes_down_True_mab_virus_VRC07-523LS|2944,0.678980762826027,
m_goes_down_True_mab_virus_VRC07-523LS|2946,0.876406248749457,
m_goes_down_True_mab_virus_VRC07-523LS|3430,0.761948707462891,
m_goes_down_True_mab_virus_VRC07-523LS|4166,0.757956993803621,
m_goes_down_True_mab_virus_VRC07-523LS|4168,0.579149988033897,
