rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,0.0251145,-0.0857308,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,0.0251145,1.16346,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,0.0251144,-1.29685,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,0.0251144,0.882562,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,0.0251144,-1.76697,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,0.0251144,1.19196,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,0.0251144,1.12645,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,0.0251145,0.409861,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|sample|10|nan|2946,1,0.0103862,0.968098,0.187444,9.71532,0.221601,0.208537,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|11|nan|2946,1,0.0132747,1.30579,0.187477,10.838,0.221601,0.208537,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|12|nan|2946,1,0.0132747,1.22165,0.187477,10.838,0.221601,0.208537,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|3|nan|2946,1,0.095547,0.887871,0.0388771,9.90101,0.221601,0.208537,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|4|nan|2946,1,0.095547,0.746957,0.0388771,9.90101,0.221601,0.208537,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|5|nan|2946,1,0.095547,0.643433,0.0388771,9.90101,0.221601,0.208537,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|6|nan|2946,1,0.095547,0.684997,0.0388771,9.90101,0.221601,0.208537,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|7|nan|2946,1,0.0103862,0.98388,0.187444,9.71532,0.221601,0.208537,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|8|nan|2946,1,0.0103862,0.982966,0.187444,9.71532,0.221601,0.208537,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|9|nan|2946,1,0.0103862,1.00198,0.187444,9.71532,0.221601,0.208537,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,0.0251145,0.685719,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,0.0251145,1.15487,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|3|2|nan|2946,1,0.0251145,0.715719,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|4|2|nan|2946,1,0.0251144,0.632895,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|5|2|nan|2946,1,0.0251145,0.814336,0.187339,11.8991,0.221601,0.208537,False,nan|2946,1313842
