parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.0110895171569678,
L_goes_down_False_mab_virus_PGDM1400|1176,0.0874531285750994,
L_goes_down_False_mab_virus_PGDM1400|1798,0.479920133646819,
L_goes_down_False_mab_virus_PGDM1400|2944,0.000896693259294672,
L_goes_down_False_mab_virus_PGDM1400|2946,0.2445584977971,
L_goes_down_False_mab_virus_PGDM1400|3430,0.0287848113761185,
L_goes_down_False_mab_virus_PGDM1400|4166,0.033032604781236,
L_goes_down_False_mab_virus_PGDM1400|4168,0.0649196479924732,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.623922872465495,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,0.0217323464306938,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.0146493140400934,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,0.0355936929890644,
L_goes_down_False_mab_virus_PGT121|1176,0.315223708427488,
L_goes_down_False_mab_virus_PGT121|1798,0.00305953528699363,
L_goes_down_False_mab_virus_PGT121|2944,0.00849610707271365,
L_goes_down_False_mab_virus_PGT121|2946,0.0196964039721842,
L_goes_down_False_mab_virus_PGT121|3430,0.0292087782603115,
L_goes_down_False_mab_virus_PGT121|4166,0.00299673917213631,
L_goes_down_False_mab_virus_PGT121|4168,0.276230760773488,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.00407349366171954,
L_goes_down_False_mab_virus_PGT121|PVO.4,0.00609649875813103,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.00420836534578372,
L_goes_down_False_mab_virus_PGT121|TRO.11,0.00277187164245536,
L_goes_down_False_mab_virus_VRC07-523LS|1176,0.0222130596303313,
L_goes_down_False_mab_virus_VRC07-523LS|1798,0.00420644221265272,
L_goes_down_False_mab_virus_VRC07-523LS|2944,0.00467605205934362,
L_goes_down_False_mab_virus_VRC07-523LS|2946,0.00515789333593433,
L_goes_down_False_mab_virus_VRC07-523LS|3430,0.00769064509723173,
L_goes_down_False_mab_virus_VRC07-523LS|4166,0.00488641333273767,
L_goes_down_False_mab_virus_VRC07-523LS|4168,0.0235810780904194,
L_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.000837577460239645,
L_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.00273036950657855,
L_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.000670044699718534,
L_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.00679254834818621,
L_goes_down_False_mab_virus_nan|1176,0.0164327444878052,
L_goes_down_False_mab_virus_nan|1798,0.00242252963050395,
L_goes_down_False_mab_virus_nan|2944,0.0184813432156249,
L_goes_down_False_mab_virus_nan|2946,0.00532245444318057,
L_goes_down_False_mab_virus_nan|3430,0.0142437618315457,
L_goes_down_False_mab_virus_nan|4166,0.00884494204730687,
L_goes_down_False_mab_virus_nan|4168,0.00812974673365566,
L_goes_down_False_mab_virus_nan|Ce1176_A3,0.0115971928260856,
L_goes_down_False_mab_virus_nan|PVO.4,0.00297833498906465,
L_goes_down_False_mab_virus_nan|RHPA4259.7,0.00555683932616305,
L_goes_down_False_mab_virus_nan|TRO.11,0.0160509809438507,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,0.00310446698865601,
L_goes_down_True_mab_virus_PGDM1400|1176,0.0244821615651226,
L_goes_down_True_mab_virus_PGDM1400|1798,0.134351765817125,
L_goes_down_True_mab_virus_PGDM1400|2944,0.00025102577353258,
L_goes_down_True_mab_virus_PGDM1400|2946,0.0684631956883136,
L_goes_down_True_mab_virus_PGDM1400|3430,0.00805819544953781,
L_goes_down_True_mab_virus_PGDM1400|4166,0.00924734861230941,
L_goes_down_True_mab_virus_PGDM1400|4168,0.018174001740118,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.17466476976588,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,0.00608388545011932,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,0.00410101821388588,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,0.00996431524698777,
