id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,0,0.309358,7.98982e-09,0,2.75883e-10,0,0,0,-6.34491e-07,6.66134e-16,0,0,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,0,0.365923,-1.17031e-08,0,-2.90478e-09,0,0,0,-6.92672e-07,-2.44249e-15,0,3.55271e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,0,0.639046,-1.01755e-08,0,-4.38462e-09,0,0,0,9.69607e-08,5.55112e-15,0,7.10543e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,0,0.171938,-1.15023e-08,0,4.80921e-09,0,0,0,-2.58493e-07,-3.77476e-15,0,3.55271e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,0,-0.110523,3.96166e-09,0,-4.55949e-09,0,0,0,-1.56172e-07,-5.55112e-15,0,3.55271e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,0,-0.185931,-1.18801e-08,0,4.46401e-09,0,0,0,-2.30415e-08,7.10543e-15,0,-3.55271e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,0,-0.0456965,1.90762e-09,0,-1.35942e-09,0,0,0,-4.98001e-07,-8.88178e-16,0,-3.55271e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,0,-1.44991,-9.02521e-09,0,5.5579e-09,0,0,0,-1.58922e-07,-2.88658e-15,0,5.32907e-15,0,0,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,0,-4.4525,-1.26336e-09,0,-7.08745e-09,0,0,0,-4.51076,1.90958e-14,0,-3.90799e-14,0,0,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,0,-4.40052,3.13485e-09,0,-2.45177e-09,0,0,0,-4.42685,7.86038e-14,0,4.26326e-14,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,0,-4.68424,1.9906e-08,0,-5.29163e-09,0,0,0,-4.8088,-3.28626e-14,0,-8.52651e-14,0,0,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,0,-1.54242,1.36036e-08,0,-3.58778e-09,0,0,0,-1.61514,-6.21725e-15,0,-7.81597e-14,0,0,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,0,-1.65538,-1.91054e-08,0,-6.80394e-09,0,0,0,-1.70807,-6.70575e-14,0,9.59233e-14,0,0,True,PGDM1400|2946,1313842
