id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,0.00335765,1.90691,0.155315,-3.54333,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,0.00335765,1.9372,0.155315,-3.53415,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,0.00335765,1.91761,0.155315,-3.88986,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,0.00335765,1.94006,0.155315,-3.95359,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,0.00335765,1.93705,0.155315,-0.729739,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,0.00335765,1.90201,0.155315,-1.68756,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,0.00335765,1.89654,0.155315,-2.55083,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,0.00335765,1.89054,0.155315,-5.14415,0.296427,0.544503,1,0.0033454,1.91159,0.155874,-3.06297,0.298353,0.55292,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,1,0.00335756,0.746118,0.155486,7.46906,0.296427,0.544503,1,0.00334531,0.701262,0.156043,6.94093,0.298353,0.55292,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,1,0.00335756,0.841932,0.155537,6.55711,0.296427,0.544503,1,0.00334531,0.820879,0.156095,6.43876,0.298353,0.55292,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,1,0.00335756,0.744479,0.155537,6.96226,0.296427,0.544503,1,0.00334531,0.731517,0.156095,6.70061,0.298353,0.55292,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,1,0.00335756,0.70992,0.155537,2.74419,0.296427,0.544503,1,0.00334531,0.719139,0.156095,2.83384,0.298353,0.55292,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,1,0.00335756,0.68793,0.155537,2.8787,0.296427,0.544503,1,0.00334531,0.679616,0.156095,2.93827,0.298353,0.55292,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,1,0.00335756,0.509368,0.155537,2.33666,0.296427,0.544503,1,0.00334531,0.49391,0.156095,2.3923,0.298353,0.55292,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,1,0.00335756,0.54773,0.155537,2.34821,0.296427,0.544503,1,0.00334531,0.538321,0.156095,2.2881,0.298353,0.55292,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,1,0.00335756,0.779416,0.155486,6.94692,0.296427,0.544503,1,0.00334531,0.746725,0.156043,6.55935,0.298353,0.55292,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,1,0.00335756,0.79096,0.155486,7.47184,0.296427,0.544503,1,0.00334531,0.71656,0.156043,6.49245,0.298353,0.55292,True,PGT121|2946,1313842
