parameter,value,CV
U_pop,1,
L_pop,0.106088594451567,
beta_L_goes_down_True,-4.51079571983326e-13,
m_pop,1.19652696109233,
beta_m_goes_down_True,0.061728766645641,
beta_m_mab_virus_PGDM1400_1176,-0.349904051104742,
beta_m_mab_virus_PGDM1400_1798,-0.238898399880558,
beta_m_mab_virus_PGDM1400_2944,-0.910003487631906,
beta_m_mab_virus_PGDM1400_2946,-0.17962355337271,
beta_m_mab_virus_PGDM1400_3430,0.687592060700551,
beta_m_mab_virus_PGDM1400_4166,-5.33171728537821,
beta_m_mab_virus_PGDM1400_4168,0.309630036530938,
beta_m_mab_virus_PGDM1400_Ce1176_A3,-0.64457992881104,
beta_m_mab_virus_PGDM1400_PVO_4,5.8309431536062,
beta_m_mab_virus_PGDM1400_RHPA4259_7,0.185861794144336,
beta_m_mab_virus_PGDM1400_TRO_11,-0.700741131627586,
beta_m_mab_virus_PGT121_1176,1.21956126106088,
beta_m_mab_virus_PGT121_1798,-0.311253237452808,
beta_m_mab_virus_PGT121_2944,-0.845601600321164,
beta_m_mab_virus_PGT121_2946,-0.0924760638018149,
beta_m_mab_virus_PGT121_3430,-4.37858263973941,
beta_m_mab_virus_PGT121_4166,0.286134450267013,
beta_m_mab_virus_PGT121_4168,-0.53461827347083,
beta_m_mab_virus_PGT121_Ce1176_A3,-2.615752722143,
beta_m_mab_virus_PGT121_PVO_4,-0.407171588923262,
beta_m_mab_virus_PGT121_RHPA4259_7,-0.588749672586458,
beta_m_mab_virus_PGT121_TRO_11,-0.366122672965541,
beta_m_mab_virus_VRC07_523LS_1176,-0.0863533050229163,
beta_m_mab_virus_VRC07_523LS_1798,0.207062989629885,
beta_m_mab_virus_VRC07_523LS_2944,-0.332121865580308,
beta_m_mab_virus_VRC07_523LS_2946,0.80516828809845,
beta_m_mab_virus_VRC07_523LS_3430,-0.292001152913092,
beta_m_mab_virus_VRC07_523LS_4166,-0.572254870798555,
beta_m_mab_virus_VRC07_523LS_4168,-0.302804661782083,
beta_m_mab_virus_VRC07_523LS_Ce1176_A3,-0.292878418230989,
beta_m_mab_virus_VRC07_523LS_PVO_4,0.405752625374423,
beta_m_mab_virus_VRC07_523LS_RHPA4259_7,-0.581151621957231,
beta_m_mab_virus_VRC07_523LS_TRO_11,-0.0535802511304889,
beta_m_mab_virus_nan_1176,0.969096291964796,
beta_m_mab_virus_nan_1798,-0.318463766055857,
beta_m_mab_virus_nan_2944,-0.0776541630751385,
beta_m_mab_virus_nan_2946,0.795853661468017,
beta_m_mab_virus_nan_3430,-0.186782092221968,
beta_m_mab_virus_nan_4166,-0.278071917133937,
beta_m_mab_virus_nan_4168,0.663490401950227,
beta_m_mab_virus_nan_Ce1176_A3,-0.479640533563142,
beta_m_mab_virus_nan_PVO_4,0.150217320664371,
beta_m_mab_virus_nan_RHPA4259_7,-0.241253800457318,
beta_m_mab_virus_nan_TRO_11,0.138006790911091,
e_pop,0.0200211959477138,
beta_e_goes_down_True,2.5586395949749,
beta_e_mab_virus_PGDM1400_1176,2.04681469254795,
beta_e_mab_virus_PGDM1400_1798,0.59085615526662,
beta_e_mab_virus_PGDM1400_2944,0.0329562852572797,
beta_e_mab_virus_PGDM1400_2946,-1.12715151415909,
beta_e_mab_virus_PGDM1400_3430,6.05030433708413,
beta_e_mab_virus_PGDM1400_4166,-4.54010984898344,
