parameter,value,CV
L_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.00710143587103612,
L_goes_down_False_mab_virus_PGDM1400|1176,0.00710143525980008,
L_goes_down_False_mab_virus_PGDM1400|1798,0.0194453210941225,
L_goes_down_False_mab_virus_PGDM1400|2944,0.00710133181957965,
L_goes_down_False_mab_virus_PGDM1400|2946,0.0206091744365047,
L_goes_down_False_mab_virus_PGDM1400|3430,0.00710143296548869,
L_goes_down_False_mab_virus_PGDM1400|4166,0.00710143143806654,
L_goes_down_False_mab_virus_PGDM1400|4168,0.0146771048369232,
L_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.0071016094438744,
L_goes_down_False_mab_virus_PGDM1400|PVO.4,0.00710144096279291,
L_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.00710144130655465,
L_goes_down_False_mab_virus_PGDM1400|TRO.11,0.00813239346626242,
L_goes_down_False_mab_virus_PGT121|1176,0.0240410195022527,
L_goes_down_False_mab_virus_PGT121|1798,0.000483814412343572,
L_goes_down_False_mab_virus_PGT121|2944,0.00253263809098346,
L_goes_down_False_mab_virus_PGT121|2946,0.00710143786642676,
L_goes_down_False_mab_virus_PGT121|3430,0.00710143500933175,
L_goes_down_False_mab_virus_PGT121|4166,0.000813267898342086,
L_goes_down_False_mab_virus_PGT121|4168,0.00710143153576397,
L_goes_down_False_mab_virus_PGT121|Ce1176_A3,1.01930528948694e-09,
L_goes_down_False_mab_virus_PGT121|PVO.4,0.00710145082516974,
L_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.00061658167034841,
L_goes_down_False_mab_virus_PGT121|TRO.11,7.48674441294969e-05,
L_goes_down_False_mab_virus_VRC07-523LS|1176,0.00710143518260832,
L_goes_down_False_mab_virus_VRC07-523LS|1798,0.00710144507256531,
L_goes_down_False_mab_virus_VRC07-523LS|2944,0.00133404479442776,
L_goes_down_False_mab_virus_VRC07-523LS|2946,0.0071014475984449,
L_goes_down_False_mab_virus_VRC07-523LS|3430,0.00107875022299749,
L_goes_down_False_mab_virus_VRC07-523LS|4166,0.000595475214232289,
