id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,0.00330948,0.663228,0.00132826,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,0.00330948,0.663228,0.00104998,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,0.00330948,0.663228,0.00116935,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,0.00330948,0.663228,0.0013538,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,0.00330948,0.663228,0.00210574,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,0.00330948,0.663228,0.000916426,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,0.00330948,0.663228,0.000819662,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,0.00330948,0.663228,0.00154959,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|sample|10|nan|2946,1,0.00330912,0.663371,0.00938202,35.6037,0.228546,0.33289,1,0.00330554,0.663578,0.00924146,35.5977,0.228504,0.332684,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|11|nan|2946,1,0.00330903,0.664218,0.00687809,35.6036,0.228546,0.33289,1,0.00330544,0.664476,0.00726646,35.5976,0.228504,0.332684,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|12|nan|2946,1,0.00330903,0.664218,0.00870937,35.6036,0.228546,0.33289,1,0.00330544,0.664476,0.00912779,35.5976,0.228504,0.332684,True,VRC07-523LS|2946,1313842
130_bNAb_Combinations|1313842|sample|3|nan|2946,1,0.00330936,0.663223,0.00225351,35.6037,0.228546,0.33289,1,0.00330578,0.663431,0.00227878,35.5977,0.228504,0.332684,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|4|nan|2946,1,0.00330936,0.663223,0.00234724,35.6037,0.228546,0.33289,1,0.00330578,0.663431,0.00246596,35.5977,0.228504,0.332684,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|5|nan|2946,1,0.00330936,0.663223,0.000594049,35.6037,0.228546,0.33289,1,0.00330578,0.663431,0.000574171,35.5977,0.228504,0.332684,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|6|nan|2946,1,0.00330936,0.663223,0.000622227,35.6037,0.228546,0.33289,1,0.00330578,0.663431,0.000631717,35.5977,0.228504,0.332684,True,PGDM1400|2946,1313842
130_bNAb_Combinations|1313842|sample|7|nan|2946,1,0.00330912,0.663371,0.00801562,35.6037,0.228546,0.33289,1,0.00330554,0.663578,0.00824639,35.5977,0.228504,0.332684,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|8|nan|2946,1,0.00330912,0.663371,0.00794824,35.6037,0.228546,0.33289,1,0.00330554,0.663578,0.00824483,35.5977,0.228504,0.332684,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|sample|9|nan|2946,1,0.00330912,0.663371,0.009642,35.6037,0.228546,0.33289,1,0.00330554,0.663578,0.009873,35.5977,0.228504,0.332684,True,PGT121|2946,1313842
130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,0.00330948,0.663228,0.00103687,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,0.00330948,0.663228,0.000541912,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|3|2|nan|2946,1,0.00330948,0.663228,0.00123465,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|4|2|nan|2946,1,0.00330948,0.663228,0.000698677,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|5|2|nan|2946,1,0.00330948,0.663228,0.000730899,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|6|2|nan|2946,1,0.00330948,0.663228,0.000688603,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
130_bNAb_Combinations|1313842|vc|7|2|nan|2946,1,0.00330948,0.663228,0.000651289,35.6037,0.228546,0.33289,1,0.00330589,0.663436,0.000113924,35.5977,0.228504,0.332684,False,nan|2946,1313842
