rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,130_bNAb_Combinations|1313842|cc|1|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|2|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|3|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|4|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|5|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|6|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|7|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|cc|8|1|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|sample|10|nan|2946,1,0.00487262,0.665128,0.052281,12.1029,0.612102,0.870962,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|11|nan|2946,1,0.00487264,0.67295,0.0497807,10.4134,0.612102,0.870962,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|12|nan|2946,1,0.00487264,0.67295,0.0497807,10.4134,0.612102,0.870962,True,VRC07-523LS|2946,1313842
1,130_bNAb_Combinations|1313842|sample|3|nan|2946,1,0.00487265,0.665118,0.00286029,14.1492,0.612102,0.870962,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|4|nan|2946,1,0.00487265,0.665118,0.00286029,14.1492,0.612102,0.870962,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|5|nan|2946,1,0.00487265,0.665118,0.00286029,14.1492,0.612102,0.870962,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|6|nan|2946,1,0.00487265,0.665118,0.00286029,14.1492,0.612102,0.870962,True,PGDM1400|2946,1313842
1,130_bNAb_Combinations|1313842|sample|7|nan|2946,1,0.00487262,0.665128,0.052281,12.1029,0.612102,0.870962,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|8|nan|2946,1,0.00487262,0.665128,0.052281,12.1029,0.612102,0.870962,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|sample|9|nan|2946,1,0.00487262,0.665128,0.052281,12.1029,0.612102,0.870962,True,PGT121|2946,1313842
1,130_bNAb_Combinations|1313842|vc|1|2|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
1,130_bNAb_Combinations|1313842|vc|2|2|nan|2946,1,0.00487267,0.665113,0.027621,13.5799,0.612102,0.870962,False,nan|2946,1313842
